200 500
0 1 2
1 2 8
2 3 10
3 4 4
4 5 8
5 6 4
6 7 7
7 8 2
8 9 7
9 10 5
10 11 2
11 12 4
12 13 2
13 14 10
14 15 4
15 16 8
16 17 10
17 18 3
18 19 5
19 20 1
20 21 7
21 22 3
22 23 8
23 24 5
24 25 4
25 26 10
26 27 1
27 28 2
28 29 4
29 30 1
30 31 1
31 32 9
32 33 10
33 34 6
34 35 4
35 36 1
36 37 3
37 38 10
38 39 7
39 40 9
40 41 8
41 42 10
42 43 2
43 44 6
44 45 3
45 46 5
46 47 9
47 48 1
48 49 3
49 50 10
50 51 8
51 52 9
52 53 5
53 54 5
54 55 5
55 56 2
56 57 7
57 58 5
58 59 4
59 60 8
60 61 2
61 62 4
62 63 5
63 64 6
64 65 7
65 66 8
66 67 4
67 68 10
68 69 1
69 70 6
70 71 5
71 72 7
72 73 4
73 74 1
74 75 3
75 76 7
76 77 3
77 78 3
78 79 3
79 80 2
80 81 10
81 82 4
82 83 2
83 84 10
84 85 7
85 86 1
86 87 2
87 88 10
88 89 7
89 90 5
90 91 7
91 92 7
92 93 8
93 94 8
94 95 7
95 96 3
96 97 4
97 98 2
98 99 2
99 100 6
100 101 10
101 102 8
102 103 4
103 104 9
104 105 2
105 106 3
106 107 5
107 108 4
108 109 8
109 110 4
110 111 3
111 112 6
112 113 4
113 114 2
114 115 2
115 116 9
116 117 9
117 118 6
118 119 2
119 120 3
120 121 6
121 122 1
122 123 4
123 124 9
124 125 3
125 126 4
126 127 1
127 128 5
128 129 2
129 130 4
130 131 2
131 132 2
132 133 10
133 134 2
134 135 2
135 136 8
136 137 5
137 138 7
138 139 5
139 140 10
140 141 7
141 142 10
142 143 5
143 144 9
144 145 10
145 146 6
146 147 2
147 148 1
148 149 6
149 150 8
150 151 5
151 152 2
152 153 3
153 154 2
154 155 3
155 156 6
156 157 7
157 158 3
158 159 6
159 160 4
160 161 2
161 162 7
162 163 5
163 164 2
164 165 7
165 166 3
166 167 9
167 168 8
168 169 8
169 170 2
170 171 6
171 172 4
172 173 5
173 174 6
174 175 9
175 176 6
176 177 1
177 178 9
178 179 2
179 180 6
180 181 7
181 182 6
182 183 5
183 184 10
184 185 3
185 186 6
186 187 7
187 188 10
188 189 8
189 190 8
190 191 5
191 192 1
192 193 2
193 194 1
194 195 6
195 196 9
196 197 3
197 198 7
198 199 7
199 200 10
104 121 4
169 125 4
65 39 2
92 136 2
86 73 1
42 46 7
70 174 9
164 67 1
73 188 7
182 146 3
80 188 7
17 79 7
132 193 1
90 126 5
164 49 1
91 106 2
155 28 3
49 16 5
86 61 1
155 18 8
185 50 4
48 70 10
101 153 10
118 110 4
127 64 7
134 27 3
152 1 4
10 161 3
91 190 9
109 175 1
182 59 4
4 141 8
123 118 2
24 79 1
33 122 10
115 149 10
137 165 10
133 0 6
100 170 5
178 105 10
29 123 5
123 55 7
151 173 1
24 81 3
128 143 5
24 192 5
52 37 2
168 137 1
73 150 4
191 81 10
137 148 5
186 41 3
27 190 9
179 100 9
189 148 3
54 44 4
17 108 9
132 122 9
119 165 4
134 80 4
122 160 9
29 120 5
25 191 8
78 74 8
136 72 4
179 179 8
119 171 10
18 107 10
131 75 2
168 96 6
199 58 2
21 86 6
184 62 2
27 21 1
89 65 1
61 122 6
58 37 6
65 156 2
97 2 4
50 158 1
177 67 8
14 138 2
101 55 5
41 98 1
6 47 2
45 89 1
156 23 1
82 192 8
157 20 4
195 5 2
171 66 4
54 79 10
143 101 7
163 58 2
170 166 7
145 182 1
92 186 2
63 80 6
171 129 2
41 64 6
153 15 9
48 178 8
8 11 6
197 154 7
92 8 7
129 49 8
21 153 4
61 81 7
53 135 8
147 38 4
127 111 6
47 181 5
106 118 8
141 83 6
198 176 9
81 158 9
16 80 9
38 159 3
71 77 6
183 122 5
32 22 1
160 3 6
17 140 3
122 160 7
49 138 2
15 173 5
117 195 5
8 172 5
141 69 4
63 92 1
121 141 4
81 55 3
182 22 6
18 159 5
150 170 3
106 33 7
15 197 9
168 116 4
114 45 2
78 61 3
194 99 6
174 125 6
23 143 8
24 45 9
92 63 6
131 131 6
97 162 5
105 98 6
116 35 6
