40 100
0 1 3
1 2 9
2 3 4
3 4 3
4 5 2
5 6 2
6 7 3
7 8 7
8 9 6
9 10 8
10 11 6
11 12 1
12 13 8
13 14 5
14 15 9
15 16 4
16 17 1
17 18 6
18 19 6
19 20 3
20 21 5
21 22 10
22 23 8
23 24 9
24 25 6
25 26 8
26 27 5
27 28 4
28 29 8
29 30 7
30 31 4
31 32 6
32 33 3
33 34 1
34 35 10
35 36 10
36 37 9
37 38 1
38 39 6
39 40 6
22 11 3
5 22 1
6 33 2
5 13 7
7 28 7
6 29 4
35 30 6
24 17 1
32 29 2
16 30 8
30 29 2
22 29 5
3 0 2
11 28 3
0 10 9
18 3 5
15 3 9
24 37 4
15 36 1
8 16 8
39 0 6
21 37 9
27 22 9
31 11 3
16 20 4
6 34 6
20 11 3
35 2 1
33 8 8
24 17 8
8 6 7
6 8 6
22 26 10
4 4 9
13 16 8
8 17 3
4 35 5
17 15 2
18 33 7
33 35 2
7 11 1
27 34 9
32 36 5
31 30 8
7 35 8
7 16 5
33 36 8
4 28 1
26 28 7
27 9 10
15 32 5
22 36 6
29 20 6
10 24 7
12 18 9
11 2 3
25 34 1
39 29 7
15 9 3
31 10 7
