200 500
0 1 7
1 2 1
2 3 10
3 4 2
4 5 8
5 6 10
6 7 7
7 8 3
8 9 5
9 10 10
10 11 1
11 12 5
12 13 5
13 14 9
14 15 4
15 16 7
16 17 8
17 18 7
18 19 3
19 20 7
20 21 4
21 22 5
22 23 7
23 24 3
24 25 6
25 26 4
26 27 3
27 28 3
28 29 8
29 30 9
30 31 10
31 32 2
32 33 6
33 34 5
34 35 4
35 36 8
36 37 10
37 38 1
38 39 8
39 40 4
40 41 7
41 42 3
42 43 7
43 44 10
44 45 9
45 46 3
46 47 7
47 48 2
48 49 7
49 50 8
50 51 2
51 52 6
52 53 9
53 54 9
54 55 8
55 56 8
56 57 3
57 58 9
58 59 2
59 60 5
60 61 1
61 62 5
62 63 8
63 64 5
64 65 7
65 66 1
66 67 8
67 68 2
68 69 3
69 70 1
70 71 10
71 72 6
72 73 8
73 74 2
74 75 7
75 76 10
76 77 9
77 78 10
78 79 2
79 80 4
80 81 5
81 82 4
82 83 3
83 84 7
84 85 6
85 86 4
86 87 1
87 88 8
88 89 10
89 90 8
90 91 1
91 92 5
92 93 3
93 94 6
94 95 9
95 96 5
96 97 10
97 98 2
98 99 9
99 100 4
100 101 10
101 102 1
102 103 3
103 104 1
104 105 10
105 106 5
106 107 2
107 108 6
108 109 1
109 110 7
110 111 2
111 112 7
112 113 3
113 114 2
114 115 6
115 116 10
116 117 2
117 118 4
118 119 10
119 120 6
120 121 3
121 122 10
122 123 7
123 124 8
124 125 2
125 126 5
126 127 5
127 128 6
128 129 9
129 130 7
130 131 4
131 132 1
132 133 2
133 134 8
134 135 4
135 136 2
136 137 4
137 138 2
138 139 8
139 140 7
140 141 3
141 142 1
142 143 10
143 144 5
144 145 5
145 146 9
146 147 7
147 148 3
148 149 2
149 150 8
150 151 9
151 152 1
152 153 4
153 154 8
154 155 1
155 156 3
156 157 6
157 158 9
158 159 2
159 160 1
160 161 10
161 162 3
162 163 2
163 164 10
164 165 10
165 166 8
166 167 2
167 168 6
168 169 10
169 170 3
170 171 1
171 172 3
172 173 6
173 174 8
174 175 6
175 176 8
176 177 5
177 178 3
178 179 9
179 180 1
180 181 5
181 182 8
182 183 4
183 184 1
184 185 3
185 186 10
186 187 7
187 188 3
188 189 9
189 190 8
190 191 6
191 192 1
192 193 1
193 194 5
194 195 3
195 196 10
196 197 2
197 198 6
198 199 10
199 200 9
60 193 9
138 54 7
29 73 6
197 158 4
105 36 8
161 186 1
190 91 10
51 199 8
79 101 7
164 32 4
66 186 1
195 73 1
94 20 7
197 72 10
46 175 7
18 58 4
91 143 3
170 23 2
181 55 8
18 83 4
176 160 6
190 197 1
129 55 1
0 43 7
165 90 5
173 92 1
161 23 6
14 175 6
125 197 1
84 89 2
32 100 1
10 57 7
180 102 7
66 192 8
2 51 3
141 44 2
113 142 8
138 78 9
57 120 10
69 30 2
194 171 10
55 171 3
170 114 1
118 12 4
111 153 6
22 54 5
103 42 9
66 83 8
