400 1000
0 1 3
1 2 2
2 3 7
3 4 10
4 5 4
5 6 6
6 7 9
7 8 3
8 9 9
9 10 4
10 11 4
11 12 8
12 13 8
13 14 10
14 15 9
15 16 9
16 17 8
17 18 9
18 19 8
19 20 10
20 21 9
21 22 3
22 23 2
23 24 6
24 25 10
25 26 6
26 27 1
27 28 8
28 29 4
29 30 6
30 31 9
31 32 8
32 33 8
33 34 1
34 35 7
35 36 5
36 37 7
37 38 3
38 39 10
39 40 8
40 41 10
41 42 9
42 43 1
43 44 8
44 45 10
45 46 7
46 47 3
47 48 5
48 49 6
49 50 8
50 51 7
51 52 4
52 53 3
53 54 7
54 55 4
55 56 4
56 57 2
57 58 6
58 59 5
59 60 10
60 61 2
61 62 3
62 63 9
63 64 8
64 65 9
65 66 5
66 67 7
67 68 1
68 69 9
69 70 3
70 71 7
71 72 2
72 73 7
73 74 3
74 75 7
75 76 4
76 77 8
77 78 7
78 79 10
79 80 7
80 81 5
81 82 3
82 83 7
83 84 2
84 85 10
85 86 7
86 87 5
87 88 5
88 89 1
89 90 3
90 91 6
91 92 8
92 93 9
93 94 8
94 95 8
95 96 5
96 97 9
97 98 1
98 99 8
99 100 8
100 101 4
101 102 10
102 103 1
103 104 7
104 105 7
105 106 2
106 107 2
107 108 2
108 109 2
109 110 7
110 111 2
111 112 7
112 113 4
113 114 10
114 115 3
115 116 9
116 117 9
117 118 4
118 119 10
119 120 8
120 121 8
121 122 8
122 123 5
123 124 9
124 125 7
125 126 6
126 127 2
127 128 10
128 129 9
129 130 8
130 131 7
131 132 3
132 133 10
133 134 5
134 135 10
135 136 8
136 137 7
137 138 2
138 139 5
139 140 4
140 141 10
141 142 6
142 143 6
143 144 6
144 145 2
145 146 10
146 147 9
147 148 8
148 149 4
149 150 6
150 151 9
151 152 4
152 153 8
153 154 7
154 155 7
155 156 3
156 157 2
157 158 3
158 159 6
159 160 1
160 161 3
161 162 1
162 163 7
163 164 4
164 165 3
165 166 10
166 167 2
167 168 5
168 169 2
169 170 7
170 171 1
171 172 6
172 173 8
173 174 5
174 175 6
175 176 3
176 177 8
177 178 6
178 179 10
179 180 9
180 181 1
181 182 8
182 183 7
183 184 8
184 185 4
185 186 5
186 187 8
187 188 5
188 189 5
189 190 5
190 191 4
191 192 6
192 193 9
193 194 10
194 195 8
195 196 2
196 197 1
197 198 2
198 199 1
199 200 7
200 201 3
201 202 10
202 203 5
203 204 5
204 205 8
205 206 2
206 207 9
207 208 6
208 209 2
209 210 2
210 211 4
211 212 2
212 213 3
213 214 8
214 215 1
215 216 1
216 217 6
217 218 10
218 219 1
219 220 6
220 221 9
221 222 9
222 223 5
223 224 2
224 225 2
225 226 2
226 227 3
227 228 6
228 229 2
229 230 8
230 231 5
231 232 1
232 233 10
233 234 1
234 235 2
235 236 10
236 237 9
237 238 6
238 239 7
239 240 10
240 241 2
241 242 3
242 243 4
243 244 2
244 245 9
245 246 1
246 247 8
247 248 9
248 249 4
249 250 3
250 251 1
251 252 8
252 253 5
253 254 9
254 255 6
255 256 1
256 257 5
257 258 2
258 259 4
259 260 3
260 261 6
261 262 7
262 263 10
263 264 1
264 265 1
265 266 2
266 267 4
267 268 5
268 269 10
269 270 4
270 271 7
271 272 10
272 273 1
273 274 8
274 275 1
275 276 8
276 277 2
277 278 4
278 279 3
279 280 7
280 281 2
281 282 1
282 283 6
283 284 6
284 285 7
285 286 9
286 287 10
287 288 7
288 289 7
289 290 3
290 291 2
291 292 9
292 293 4
293 294 4
294 295 10
295 296 4
296 297 10
297 298 5
298 299 7
299 300 2
300 301 1
301 302 4
302 303 5
303 304 2
304 305 1
305 306 5
306 307 6
307 308 3
308 309 8
309 310 1
310 311 6
311 312 6
312 313 5
313 314 7
314 315 7
315 316 10
316 317 6
317 318 4
318 319 3
319 320 8
320 321 7
321 322 1
322 323 2
323 324 4
324 325 4
325 326 5
326 327 9
327 328 6
328 329 5
329 330 9
330 331 5
331 332 5
332 333 4
333 334 8
334 335 7
335 336 5
336 337 3
337 338 10
338 339 4
339 340 5
340 341 8
341 342 10
342 343 4
343 344 4
344 345 3
345 346 4
346 347 4
347 348 9
348 349 7
349 350 4
350 351 5
351 352 7
352 353 5
353 354 10
354 355 2
355 356 10
356 357 5
357 358 3
358 359 4
359 360 2
360 361 7
361 362 1
362 363 5
363 364 8
364 365 10
365 366 1
366 367 4
367 368 2
368 369 4
369 370 5
370 371 5
371 372 5
372 373 2
373 374 1
374 375 6
375 376 10
376 377 2
377 378 2
378 379 9
379 380 3
380 381 8
381 382 10
382 383 9
383 384 6
384 385 5
385 386 1
386 387 9
387 388 8
388 389 7
389 390 9
390 391 4
391 392 9
392 393 4
393 394 7
394 395 9
395 396 7
396 397 6
397 398 9
398 399 10
399 400 10
387 269 3
63 258 1
249 77 4
23 22 6
206 179 3
356 208 9
95 142 2
91 270 3
109 96 7
310 348 1
349 357 2
175 81 8
216 162 9
164 176 1
79 189 7
352 146 1
152 18 1
39 314 6
207 294 7
266 169 6
108 104 8
248 287 9
1 253 7
82 132 1
249 363 10
287 109 3
183 3 6
319 55 4
361 31 1
21 14 2
212 333 5
229 292 5
253 342 9
211 316 6
105 4 3
395 384 9
357 120 10
356 133 3
295 101 4
22 136 3
303 203 7
313 243 6
6 397 9
250 175 1
66 253 3
157 343 10
356 18 1
390 112 8
67 324 2
18 352 1
369 379 5
21 385 2
86 179 4
310 218 5
25 331 6
290 273 7
250 351 7
162 56 7
43 313 9
325 100 6
176 249 2
366 140 3
119 92 5
242 85 10
281 208 5
15 184 2
36 216 6
103 298 8
59 300 5
9 383 8
114 33 8
75 311 8
301 102 1
184 3 5
294 379 1
175 219 8
240 162 8
7 350 4
324 84 5
228 373 5
70 46 6
116 371 9
146 218 8
17 48 10
360 398 5
359 199 3
216 13 10
112 358 9
289 72 3
99 363 3
65 209 5
183 7 3
338 291 10
91 369 5
372 73 7
59 394 8
160 312 1
275 321 2
19 48 3
315 114 1
150 91 1
246 167 1
187 96 10
120 11 5
6 1 8
372 292 3
249 283 1
239 308 10
46 155 10
261 250 7
260 176 9
274 226 10
175 231 6
201 192 10
390 340 6
94 147 5
265 383 5
349 170 2
17 355 8
132 332 2
204 97 4
296 199 6
19 67 7
257 139 1
51 286 8
187 236 9
181 326 4
394 10 4
64 18 8
374 25 3
172 346 5
191 284 8
378 102 10
241 328 8
235 120 8
190 324 6
118 276 2
163 271 8
77 95 10
190 164 4
260 363 5
391 162 3
313 125 3
85 350 4
100 322 3
92 293 4
399 357 7
261 48 7
345 246 2
287 267 2
311 53 2
233 347 3
176 222 9
73 241 6
293 387 3
62 34 3
217 75 7
357 207 3
186 328 7
138 359 2
26 246 4
336 199 7
335 180 1
3 398 2
170 326 4
187 285 6
238 164 9
342 356 2
285 63 8
292 21 1
143 139 4
219 290 8
124 149 3
344 277 1
363 332 6
208 234 6
129 232 5
268 0 6
378 160 6
139 73 2
209 165 2
247 330 10
283 176 2
384 342 1
32 45 2
373 304 10
360 235 9
95 69 9
11 189 5
213 87 7
17 372 8
289 166 7
156 94 6
104 288 8
296 338 4
278 397 10
304 373 9
114 79 3
338 261 10
115 176 6
270 397 8
263 302 4
229 198 10
381 338 1
161 33 4
314 318 5
55 313 9
204 151 1
240 225 1
93 280 9
235 82 4
363 372 3
121 249 4
236 138 7
48 77 7
162 102 6
331 326 6
159 322 6
85 109 6
91 211 1
162 164 9
221 364 5
132 170 1
253 172 3
122 18 5
189 66 6
372 60 9
387 380 2
128 327 6
311 206 1
167 237 2
313 254 5
260 109 4
34 165 8
130 111 1
129 271 1
144 4 9
324 3 5
138 200 6
15 174 2
39 178 10
317 221 3
96 21 1
69 159 8
375 4 3
287 217 7
282 54 2
153 291 5
256 46 5
63 47 6
205 302 8
118 228 6
122 36 3
30 67 5
184 355 8
133 200 1
91 282 4
74 107 3
72 222 8
124 151 4
364 194 10
301 122 6
105 394 7
387 373 6
304 144 8
213 171 3
11 183 8
241 346 6
209 211 3
51 369 6
40 229 7
130 275 9
157 50 5
209 278 4
34 341 8
57 103 9
301 83 5
278 380 7
366 110 4
238 40 1
92 130 8
379 138 1
181 72 3
300 85 2
192 264 10
88 391 4
349 33 2
180 142 8
92 196 9
263 151 7
55 294 1
192 196 6
116 297 3
35 197 6
27 141 7
3 282 10
395 342 9
204 182 8
62 192 7
28 22 8
233 71 6
11 237 6
350 96 6
243 117 7
10 111 7
61 315 3
235 18 3
296 227 9
116 317 9
48 198 3
124 197 4
162 317 8
320 339 2
194 39 5
79 351 6
276 174 4
268 133 4
278 275 8
24 200 8
155 100 6
203 336 4
333 136 3
92 382 3
290 309 1
239 313 7
244 360 2
32 352 3
236 102 2
202 18 7
228 162 2
92 218 1
390 383 5
346 15 4
367 48 6
76 189 7
49 229 2
141 143 1
210 366 3
153 85 6
74 388 6
83 379 10
153 225 6
359 89 7
61 111 3
197 190 9
399 304 1
180 309 5
250 335 4
323 50 4
337 249 4
362 199 3
337 346 10
153 67 8
316 275 9
200 128 7
55 67 2
78 338 6
384 201 7
398 211 8
61 228 3
103 367 6
147 127 9
153 261 7
222 75 5
348 241 4
127 387 9
171 149 9
247 243 3
348 287 8
115 73 9
209 143 7
157 98 8
144 94 6
200 368 9
107 117 4
211 322 2
357 50 8
279 240 6
63 17 3
29 229 1
187 84 1
62 27 4
399 232 1
23 293 10
363 78 2
182 316 10
46 14 5
210 342 2
124 145 8
388 200 3
221 211 2
234 348 4
15 323 3
6 2 2
27 68 5
365 292 6
125 57 8
4 386 1
65 137 2
196 360 2
374 141 6
183 176 8
243 209 3
223 250 5
182 215 6
142 296 8
78 176 9
232 183 10
297 362 6
231 345 1
284 116 9
397 223 2
140 94 3
387 36 10
15 91 4
201 67 8
362 322 6
58 316 8
234 29 2
231 246 5
97 204 5
145 121 7
332 280 3
262 397 10
168 321 8
392 27 1
135 399 9
231 336 1
222 367 1
51 355 10
361 137 10
349 183 8
95 188 1
114 326 9
37 204 9
307 375 9
100 260 6
3 330 10
332 37 10
90 72 3
90 13 2
152 37 7
338 255 4
86 198 7
15 27 2
62 385 6
27 293 7
334 28 2
137 226 3
124 75 8
74 101 7
217 43 1
355 219 7
134 228 1
266 381 2
45 28 1
241 316 9
164 311 8
155 336 6
17 186 1
276 203 10
369 268 8
35 43 3
234 392 10
337 133 3
349 146 2
317 130 2
124 161 9
24 204 5
118 371 1
338 55 6
93 147 2
254 329 2
69 371 2
147 225 6
260 292 8
397 72 3
72 383 5
343 333 1
238 203 8
18 84 3
4 233 4
150 8 6
62 296 5
364 64 1
122 150 9
251 72 2
344 313 1
323 13 7
205 111 9
228 28 5
216 393 8
53 83 7
371 143 4
241 277 9
304 243 1
330 388 9
344 86 2
13 293 3
196 213 1
231 234 7
206 135 2
340 118 7
216 393 6
291 193 2
267 3 2
143 354 5
201 389 1
114 199 6
381 228 2
212 383 3
281 210 9
222 318 9
122 20 9
331 23 10
63 287 5
256 82 8
32 105 7
74 80 3
111 268 4
276 9 10
344 384 5
262 280 7
101 132 4
241 55 7
121 280 3
145 216 6
339 64 5
182 171 7
391 56 10
230 271 6
306 68 10
86 213 6
73 166 3
20 128 5
114 116 5
264 138 2
30 77 5
47 144 7
135 323 6
166 20 6
62 304 10
395 366 8
313 43 1
282 15 4
345 179 5
72 31 9
83 399 7
117 138 2
95 355 5
140 230 5
178 23 6
266 6 4
225 196 8
45 56 6
257 365 6
3 315 5
168 76 10
372 32 10
85 250 6
303 279 8
202 139 1
370 111 6
228 130 4
24 345 10
321 354 7
225 381 1
283 75 1
144 156 7
358 56 9
153 250 9
386 141 1
166 202 4
102 156 5
270 324 1
164 360 4
65 302 8
17 38 9
197 351 8
30 147 10
186 241 10
156 302 2
398 221 4
246 18 5
29 4 1
184 158 4
299 237 10
9 191 7
257 359 4
348 139 9
288 127 2
30 302 5
358 28 4
300 399 7
24 237 2
346 208 6
200 34 3
252 146 2
332 185 8
182 394 7
