500 890
400 163 9
229 194 7
137 88 9
282 292 4
252 237 4
413 167 9
69 62 7
441 347 5
202 270 4
79 231 10
203 190 3
340 185 7
395 487 2
16 322 9
351 361 3
196 444 8
12 306 2
441 138 1
31 118 6
320 396 1
426 369 8
417 4 9
407 297 9
133 442 8
273 475 7
233 209 10
165 150 5
473 299 10
48 392 8
377 295 2
206 294 5
171 476 8
361 440 9
12 481 5
179 347 10
355 450 10
197 223 3
419 442 6
404 213 6
482 474 1
167 313 8
443 404 4
207 75 6
317 399 5
26 382 9
482 211 4
345 441 5
204 370 3
255 92 6
174 424 4
17 125 5
472 6 5
31 358 2
83 112 6
415 164 8
404 435 5
206 398 8
238 341 4
400 1 5
382 37 7
348 235 7
481 291 4
364 131 4
474 97 9
498 156 7
420 357 6
496 182 10
98 148 4
328 394 1
464 384 5
113 380 10
114 20 7
491 45 1
347 390 4
145 451 9
356 374 6
407 30 7
8 347 2
454 14 1
270 193 9
65 431 10
392 416 6
69 120 10
460 289 9
38 10 3
127 431 9
297 109 7
324 72 1
463 82 6
110 355 2
35 436 8
98 425 5
392 427 9
46 393 8
391 287 4
214 263 1
59 176 4
284 453 6
230 498 4
496 410 3
336 112 6
218 101 3
160 43 8
34 52 10
185 261 3
445 16 3
265 34 6
153 189 6
322 52 9
113 166 1
407 269 10
121 312 10
11 472 9
138 498 5
34 171 7
431 29 3
104 7 4
410 334 3
90 417 8
358 106 10
59 219 2
340 145 3
119 488 10
376 202 5
249 349 2
219 168 1
227 53 3
303 379 5
402 300 8
245 146 3
189 100 6
320 458 1
258 264 6
14 386 3
278 391 3
64 442 6
110 182 1
46 307 9
449 6 2
459 198 2
423 212 1
375 48 7
298 260 5
56 227 6
228 292 9
280 40 3
38 143 3
351 276 9
424 137 1
424 458 4
67 134 8
30 143 6
93 259 3
158 146 3
210 337 6
107 41 10
102 133 4
153 257 8
422 21 7
231 468 5
455 488 1
401 142 5
332 160 2
310 482 2
19 268 1
387 188 1
240 405 1
161 237 7
349 490 9
379 408 8
278 33 4
354 21 5
14 233 7
486 427 2
469 437 4
25 476 4
44 296 3
126 334 10
412 150 3
326 71 6
355 249 3
57 249 10
303 177 1
91 27 4
443 403 10
12 220 2
439 486 5
