40 100
0 1 1
1 2 3
2 3 4
3 4 8
4 5 1
5 6 6
6 7 7
7 8 3
8 9 7
9 10 3
10 11 1
11 12 4
12 13 7
13 14 3
14 15 6
15 16 6
16 17 1
17 18 8
18 19 6
19 20 5
20 21 7
21 22 2
22 23 2
23 24 6
24 25 7
25 26 8
26 27 8
27 28 7
28 29 3
29 30 9
30 31 5
31 32 8
32 33 7
33 34 1
34 35 2
35 36 4
36 37 4
37 38 8
38 39 2
39 40 2
7 0 3
31 3 7
33 17 2
39 13 7
16 22 5
38 18 7
23 2 6
37 17 2
37 39 1
3 32 7
4 1 8
4 27 2
38 37 5
20 30 2
22 34 1
2 11 2
20 33 4
38 39 3
2 8 4
22 28 1
23 13 9
28 6 6
25 14 9
14 2 4
4 7 10
29 4 6
22 6 7
4 13 4
12 27 2
13 30 2
25 31 8
6 7 10
22 26 3
4 36 9
23 8 1
39 11 9
37 35 7
30 10 9
12 32 4
20 35 9
2 1 10
16 8 8
25 36 8
3 2 4
4 36 4
30 26 6
2 15 2
34 14 5
7 20 5
32 23 1
9 31 6
39 4 6
23 11 6
27 12 6
32 24 4
35 33 5
24 38 3
33 31 3
1 14 3
8 4 7
