1000 1001
347 9 9
379 855 3
961 634 9
331 250 9
469 145 6
651 742 9
214 311 8
34 85 6
796 986 6
557 884 1
588 821 3
250 414 9
797 967 7
774 419 7
986 468 3
80 422 1
321 793 9
419 900 9
777 329 2
700 576 6
450 30 8
104 777 5
116 913 7
458 428 5
690 585 9
525 299 1
714 83 9
876 876 6
756 778 2
613 522 3
486 491 6
210 619 9
955 358 8
944 463 4
154 93 4
39 7 6
581 799 3
871 373 10
932 182 6
492 778 9
547 854 7
25 759 8
385 569 9
499 915 3
460 721 4
965 480 7
663 809 7
677 193 9
70 562 2
136 594 1
138 3 5
407 258 10
569 853 1
355 895 5
882 953 1
534 363 3
612 594 9
595 400 9
527 329 7
672 304 9
863 373 6
737 42 9
342 96 3
979 672 5
184 562 1
91 47 9
800 568 7
209 277 5
330 698 1
108 441 4
646 519 2
437 845 2
87 48 5
492 665 5
584 201 1
408 700 3
300 280 8
306 482 6
224 803 4
921 48 5
994 63 2
790 519 9
127 675 7
879 262 8
371 470 7
255 812 8
642 679 10
269 605 7
874 430 8
981 205 9
290 887 9
128 672 7
794 229 7
108 78 7
436 122 5
783 670 8
897 906 1
721 349 10
809 658 5
387 635 10
574 324 3
97 642 2
921 662 5
274 687 8
858 137 7
842 744 9
110 789 4
145 377 10
738 570 7
694 33 6
590 328 6
929 4 8
348 598 2
529 299 4
268 150 6
232 719 9
369 532 4
734 308 10
564 443 1
579 748 8
160 631 8
930 604 8
204 847 8
363 723 7
150 695 5
925 191 1
854 464 2
354 768 10
153 42 8
622 318 4
846 384 1
411 343 10
48 57 6
965 576 7
373 838 4
452 242 5
542 529 4
859 669 1
485 939 1
582 826 5
358 833 5
462 169 2
808 34 1
446 375 10
455 259 8
475 134 5
141 627 4
468 437 9
500 201 3
654 56 6
544 285 5
994 34 8
970 31 10
916 496 7
540 666 3
522 539 1
977 685 7
745 531 6
522 573 7
272 795 7
681 327 4
293 292 3
871 362 2
140 713 8
838 714 2
252 588 3
31 18 9
190 190 3
405 91 10
924 728 8
797 364 6
265 690 6
851 413 10
847 899 7
120 632 6
901 520 5
953 437 4
772 522 4
107 307 7
799 1000 9
677 699 9
862 976 1
26 477 8
174 686 6
308 882 8
599 415 8
873 586 2
47 463 3
389 784 4
943 275 5
706 225 4
648 763 2
483 528 3
58 635 3
380 128 6
86 222 5
964 361 10
227 686 4
989 479 3
902 648 6
950 185 1
750 736 10
435 148 1
860 875 7
92 945 4
957 714 7
361 73 3
291 315 3
648 265 9
395 199 9
253 459 10
563 223 10
917 620 4
206 207 4
