200 500
0 1 4
1 2 8
2 3 10
3 4 5
4 5 8
5 6 2
6 7 10
7 8 4
8 9 10
9 10 4
10 11 7
11 12 7
12 13 5
13 14 3
14 15 1
15 16 8
16 17 1
17 18 7
18 19 5
19 20 1
20 21 8
21 22 4
22 23 10
23 24 3
24 25 1
25 26 9
26 27 6
27 28 4
28 29 2
29 30 3
30 31 8
31 32 2
32 33 3
33 34 1
34 35 8
35 36 10
36 37 2
37 38 7
38 39 2
39 40 8
40 41 3
41 42 4
42 43 6
43 44 10
44 45 6
45 46 6
46 47 10
47 48 4
48 49 10
49 50 5
50 51 3
51 52 6
52 53 3
53 54 4
54 55 6
55 56 6
56 57 4
57 58 1
58 59 9
59 60 9
60 61 3
61 62 9
62 63 6
63 64 5
64 65 5
65 66 7
66 67 10
67 68 9
68 69 2
69 70 7
70 71 9
71 72 5
72 73 7
73 74 5
74 75 10
75 76 9
76 77 2
77 78 8
78 79 3
79 80 9
80 81 4
81 82 8
82 83 4
83 84 7
84 85 7
85 86 3
86 87 9
87 88 3
88 89 4
89 90 1
90 91 2
91 92 1
92 93 7
93 94 3
94 95 7
95 96 1
96 97 3
97 98 10
98 99 4
99 100 5
100 101 4
101 102 2
102 103 3
103 104 7
104 105 7
105 106 4
106 107 9
107 108 6
108 109 6
109 110 3
110 111 5
111 112 10
112 113 5
113 114 4
114 115 6
115 116 7
116 117 6
117 118 8
118 119 10
119 120 8
120 121 7
121 122 6
122 123 6
123 124 1
124 125 6
125 126 4
126 127 6
127 128 10
128 129 7
129 130 3
130 131 3
131 132 4
132 133 6
133 134 3
134 135 4
135 136 5
136 137 2
137 138 8
138 139 7
139 140 8
140 141 6
141 142 10
142 143 1
143 144 10
144 145 4
145 146 7
146 147 4
147 148 1
148 149 5
149 150 8
150 151 5
151 152 8
152 153 6
153 154 4
154 155 9
155 156 8
156 157 1
157 158 7
158 159 2
159 160 6
160 161 6
161 162 9
162 163 5
163 164 7
164 165 3
165 166 2
166 167 5
167 168 9
168 169 3
169 170 2
170 171 9
171 172 4
172 173 3
173 174 1
174 175 1
175 176 10
176 177 9
177 178 7
178 179 5
179 180 5
180 181 10
181 182 3
182 183 7
183 184 1
184 185 7
185 186 10
186 187 9
187 188 9
188 189 2
189 190 6
190 191 5
191 192 2
192 193 1
193 194 5
194 195 2
195 196 1
196 197 10
197 198 6
198 199 7
199 200 2
8 20 7
194 121 8
113 111 10
27 95 6
141 150 7
140 57 5
75 146 3
12 142 4
81 199 6
112 100 2
15 143 10
138 163 10
147 87 10
36 99 3
133 55 9
174 118 10
13 58 3
134 133 4
55 169 3
116 7 10
28 44 1
160 34 6
42 195 5
186 174 6
82 138 10
49 15 1
59 78 8
130 8 3
60 84 3
176 53 1
142 116 3
63 7 8
56 137 5
107 129 6
26 8 4
79 93 7
37 194 5
92 140 4
68 35 8
113 96 4
44 66 3
129 132 8
87 166 1
107 83 7
143 44 9
2 148 8
163 179 6
132 51 3
24 0 8
17 35 5
26 183 2
167 128 5
192 64 3
95 120 6
89 141 2
101 63 8
125 198 2
177 85 2
116 32 4
97 183 10
143 70 2
123 56 3
23 24 1
85 194 3
111 58 1
170 29 2
121 7 4
120 137 7
162 20 3
44 70 10
110 21 4
50 89 9
3 162 2
65 28 8
10 18 5
121 94 1
59 197 1
66 159 3
8 133 8
105 129 6
89 137 7
127 16 3
118 160 9
39 134 2
129 131 8
186 197 10
48 168 6
44 57 6
26 43 8
17 33 8
158 186 8
191 81 4
13 195 4
95 62 5
7 121 6
135 154 7
188 184 8
165 82 7
190 44 8
136 68 6
106 97 10
94 148 8
91 139 2
7 43 8
171 101 7
160 12 8
6 97 9
141 121 9
78 49 7
36 8 8
165 172 7
89 45 8
156 7 5
180 27 9
64 128 7
103 186 9
33 169 8
187 173 3
159 188 6
92 22 8
7 57 9
161 92 5
157 162 6
87 57 10
113 126 4
134 26 2
191 114 5
89 164 4
122 29 2
41 43 6
144 85 10
105 191 7
54 181 4
156 124 8
151 189 6
112 174 6
39 139 6
191 51 4
112 160 9
188 173 3
112 166 1
102 93 2
0 62 8
182 141 5
187 181 1
85 6 1
120 164 5
144 96 3
170 135 9
80 96 1
173 86 2
35 137 8
125 40 3
118 158 8
138 97 6
5 127 9
7 98 10
88 10 10
187 121 3
82 44 3
92 80 3
76 35 8
116 34 3
114 97 3
42 36 2
29 55 8
154 55 7
189 105 6
133 150 1
76 103 4
105 118 9
94 26 9
109 3 1
143 68 6
186 51 2
101 57 6
157 7 3
119 191 8
80 174 9
171 87 3
9 63 9
46 86 6
104 165 6
60 119 6
117 59 6
53 67 10
173 154 10
0 71 7
54 41 9
23 179 1
45 12 10
116 16 9
5 183 8
22 15 6
97 79 6
66 96 5
161 144 8
174 159 1
156 151 3
141 158 5
61 82 6
43 93 7
130 132 10
146 4 8
91 6 8
105 25 10
92 49 1
54 106 10
145 16 10
117 24 7
70 162 8
99 173 8
116 99 4
168 174 4
9 136 8
99 107 1
84 46 2
32 72 3
175 39 10
130 150 3
39 26 3
10 4 10
178 159 10
31 104 1
109 18 2
90 72 5
138 54 5
164 166 1
67 180 3
88 172 2
109 67 9
183 164 5
90 108 7
33 63 5
159 35 7
31 192 7
143 166 4
99 155 2
180 44 9
55 126 7
21 18 1
43 116 3
74 161 9
83 106 3
164 14 5
92 159 6
39 75 8
66 179 1
116 156 1
90 104 10
197 64 5
141 188 6
168 71 5
36 57 4
103 39 9
49 22 10
93 16 2
111 1 6
172 123 6
2 138 4
62 63 10
131 43 5
154 113 4
154 135 10
73 90 5
8 33 2
48 188 3
26 107 2
80 81 6
46 63 4
196 15 10
180 178 10
91 70 5
67 123 9
142 171 3
184 129 4
111 170 3
149 81 4
126 51 2
57 124 10
174 73 3
48 101 10
113 136 8
60 110 2
25 176 6
157 1 9
5 180 2
133 197 6
86 157 1
136 67 6
92 140 3
67 106 9
33 15 8
118 162 6
164 59 5
57 159 5
20 22 8
163 36 6
198 136 8
21 49 2
