40 100
0 1 8
1 2 4
2 3 10
3 4 10
4 5 5
5 6 8
6 7 7
7 8 2
8 9 5
9 10 8
10 11 6
11 12 8
12 13 4
13 14 1
14 15 6
15 16 4
16 17 2
17 18 6
18 19 2
19 20 4
20 21 3
21 22 9
22 23 8
23 24 1
24 25 2
25 26 1
26 27 3
27 28 9
28 29 8
29 30 4
30 31 1
31 32 3
32 33 9
33 34 6
34 35 10
35 36 7
36 37 1
37 38 5
38 39 10
39 40 5
38 24 5
1 38 2
26 17 10
0 25 1
8 7 1
0 37 1
33 20 5
25 22 3
1 34 2
12 17 1
30 33 2
19 28 9
32 24 7
34 35 8
11 20 5
12 8 4
39 16 8
28 5 3
25 8 3
33 6 1
24 14 6
9 21 4
4 39 9
21 27 10
27 27 4
5 16 7
3 14 7
23 22 8
33 11 6
17 14 7
3 14 1
32 8 5
5 26 7
35 17 6
30 2 10
7 11 4
29 4 10
28 25 10
37 5 2
22 29 7
13 5 2
26 0 2
39 15 3
27 12 1
36 0 3
0 29 10
12 9 7
31 28 4
10 11 3
10 39 6
31 25 9
4 31 5
9 26 4
0 22 6
11 7 7
15 16 3
5 9 9
27 17 5
30 24 2
9 28 1
