200 500
0 1 10
1 2 9
2 3 4
3 4 6
4 5 7
5 6 5
6 7 3
7 8 6
8 9 7
9 10 5
10 11 8
11 12 3
12 13 2
13 14 6
14 15 8
15 16 7
16 17 3
17 18 8
18 19 2
19 20 10
20 21 4
21 22 6
22 23 5
23 24 10
24 25 8
25 26 2
26 27 8
27 28 1
28 29 8
29 30 7
30 31 1
31 32 10
32 33 6
33 34 10
34 35 9
35 36 9
36 37 3
37 38 2
38 39 4
39 40 3
40 41 6
41 42 7
42 43 4
43 44 4
44 45 7
45 46 10
46 47 2
47 48 3
48 49 7
49 50 4
50 51 9
51 52 2
52 53 5
53 54 9
54 55 1
55 56 7
56 57 3
57 58 4
58 59 10
59 60 8
60 61 9
61 62 6
62 63 9
63 64 9
64 65 2
65 66 2
66 67 4
67 68 5
68 69 6
69 70 6
70 71 9
71 72 10
72 73 5
73 74 10
74 75 10
75 76 10
76 77 7
77 78 6
78 79 1
79 80 2
80 81 3
81 82 4
82 83 6
83 84 8
84 85 7
85 86 5
86 87 8
87 88 2
88 89 2
89 90 5
90 91 6
91 92 3
92 93 2
93 94 9
94 95 4
95 96 9
96 97 2
97 98 8
98 99 3
99 100 9
100 101 6
101 102 2
102 103 6
103 104 5
104 105 3
105 106 3
106 107 10
107 108 4
108 109 8
109 110 2
110 111 8
111 112 9
112 113 5
113 114 4
114 115 8
115 116 2
116 117 7
117 118 9
118 119 6
119 120 9
120 121 2
121 122 6
122 123 8
123 124 1
124 125 6
125 126 4
126 127 9
127 128 8
128 129 7
129 130 6
130 131 9
131 132 5
132 133 10
133 134 9
134 135 5
135 136 7
136 137 10
137 138 9
138 139 8
139 140 8
140 141 10
141 142 2
142 143 6
143 144 1
144 145 4
145 146 3
146 147 10
147 148 2
148 149 5
149 150 6
150 151 2
151 152 8
152 153 8
153 154 1
154 155 1
155 156 2
156 157 8
157 158 2
158 159 5
159 160 8
160 161 2
161 162 4
162 163 3
163 164 7
164 165 7
165 166 5
166 167 7
167 168 2
168 169 1
169 170 6
170 171 1
171 172 4
172 173 3
173 174 5
174 175 4
175 176 8
176 177 3
177 178 10
178 179 3
179 180 1
180 181 2
181 182 6
182 183 2
183 184 2
184 185 6
185 186 4
186 187 8
187 188 4
188 189 1
189 190 6
190 191 6
191 192 4
192 193 2
193 194 3
194 195 6
195 196 5
196 197 5
197 198 2
198 199 9
199 200 10
87 186 5
163 17 1
88 18 6
67 79 9
129 185 8
