100 421
92 88 9
73 62 9
24 65 3
26 83 1
32 63 4
33 51 6
30 37 3
43 4 2
69 90 1
92 35 8
1 74 7
60 34 10
36 39 3
18 3 9
27 83 3
43 95 2
31 63 6
27 86 6
7 98 6
49 97 10
63 17 2
80 87 10
12 22 2
5 63 7
47 31 5
28 36 9
66 13 6
49 48 9
52 6 3
67 45 10
56 50 1
23 82 10
89 32 6
91 70 5
84 5 8
100 56 9
59 53 9
21 36 8
84 61 9
57 94 8
78 88 10
65 40 7
89 21 7
77 70 5
73 16 3
6 83 10
15 20 6
31 60 1
98 21 5
57 17 2
2 98 1
72 97 8
95 100 8
1 64 6
32 24 7
65 44 7
97 47 4
53 90 7
67 26 1
93 25 7
26 25 5
13 99 10
26 65 3
77 8 4
25 88 3
3 40 4
90 23 7
80 89 6
12 89 6
24 37 7
57 86 2
70 56 6
14 14 8
76 58 4
80 10 2
56 16 8
99 56 7
51 66 5
55 84 1
45 75 3
77 41 9
14 43 3
66 71 7
42 97 9
12 79 4
62 69 1
38 94 1
59 60 4
82 35 10
43 49 2
94 42 10
57 95 9
5 81 5
7 20 2
61 32 7
58 55 10
60 54 6
49 52 9
72 47 5
63 78 4
78 91 7
83 2 10
2 42 10
67 62 5
77 38 1
2 94 2
42 7 10
34 43 1
30 31 6
55 71 1
64 25 1
31 29 10
25 22 8
4 28 9
31 27 5
84 18 8
92 86 4
57 80 7
98 2 10
93 84 5
87 14 3
22 13 7
26 89 5
7 100 9
82 78 1
50 74 6
31 51 2
45 11 6
4 70 5
6 94 5
84 7 4
96 36 3
42 5 8
91 33 3
8 27 9
17 80 2
48 49 3
90 40 10
78 49 9
50 53 5
3 62 2
49 77 6
45 58 4
66 31 10
69 79 6
33 33 10
8 21 3
19 25 10
33 72 4
75 9 7
50 57 2
29 66 10
42 30 4
29 21 1
53 55 1
77 29 4
8 8 3
74 28 9
53 75 1
72 15 4
91 44 1
41 33 10
9 63 8
22 6 5
35 2 10
68 43 10
32 62 10
63 15 2
56 53 1
54 11 9
75 28 3
17 20 4
76 65 10
7 42 3
82 38 8
87 1 5
65 91 2
52 15 6
39 82 4
43 69 6
93 37 6
17 54 4
37 91 3
58 46 5
79 39 10
49 14 3
11 93 6
97 19 5
19 38 4
13 6 8
32 79 9
93 28 9
46 81 9
38 70 3
50 10 7
45 81 6
2 12 9
81 78 2
1 58 7
51 93 7
81 18 10
22 24 9
65 43 1
97 78 7
40 5 4
28 70 2
16 42 5
68 23 8
8 24 3
99 6 7
36 68 10
59 3 7
34 40 4
15 68 2
55 54 4
5 83 4
75 15 9
59 88 2
92 71 9
44 81 1
76 14 3
37 69 4
82 74 9
82 41 10
31 40 3
94 60 10
1 71 9
65 60 9
21 91 5
5 15 1
33 29 3
65 84 9
18 54 10
87 35 5
39 43 1
8 39 3
70 38 7
34 77 8
50 98 6
91 55 5
80 53 7
41 50 9
71 24 4
55 90 4
64 91 1
64 27 10
31 86 4
66 18 5
47 64 10
18 92 6
60 67 1
12 69 4
63 84 2
64 29 8
7 28 7
57 92 7
42 28 3
94 42 8
28 35 3
28 60 2
59 67 1
12 100 10
83 7 3
92 72 8
42 37 6
27 93 6
87 52 6
48 35 1
30 84 8
80 17 1
11 21 9
66 7 3
77 10 8
70 36 2
65 45 7
30 50 7
35 39 7
89 7 2
52 32 5
80 87 6
62 13 10
46 8 7
1 10 3
13 19 5
29 82 2
97 20 1
85 39 4
13 39 10
75 21 8
55 13 8
73 47 3
37 7 3
30 54 6
12 67 7
8 30 9
18 87 9
16 84 4
63 6 3
46 13 10
45 38 9
91 14 10
18 78 7
13 99 8
4 7 7
45 65 8
32 12 1
71 56 8
59 46 9
38 86 5
48 100 2
7 75 2
19 49 1
24 30 7
86 85 5
65 43 7
75 44 7
74 97 8
57 18 3
66 82 4
85 36 8
8 25 6
84 88 6
69 65 7
2 96 9
96 76 1
64 44 10
89 99 4
28 48 8
75 53 5
41 76 4
26 27 6
73 88 4
64 12 4
36 45 10
80 62 7
64 43 8
38 25 4
3 9 2
85 67 2
54 16 5
39 87 6
17 53 3
28 9 4
80 82 9
70 47 4
72 50 7
96 47 6
8 77 1
55 42 6
80 8 2
88 89 9
66 26 8
11 8 7
33 83 2
8 39 2
59 67 10
40 8 9
34 57 6
38 34 6
10 7 10
29 20 2
93 71 4
10 65 4
90 10 2
96 95 8
89 71 10
19 55 4
4 65 7
22 40 5
2 48 6
93 38 3
97 12 4
13 66 7
33 33 9
29 70 4
26 70 1
40 57 3
31 35 4
82 11 4
21 57 10
55 12 6
35 93 9
96 25 5
81 34 8
50 48 10
68 34 7
42 29 5
64 64 4
12 21 9
64 32 1
87 76 8
81 65 5
47 86 5
33 18 10
39 44 8
98 27 10
28 82 10
68 6 3
80 78 9
52 9 9
14 47 5
91 23 3
45 32 7
63 62 9
88 90 9
96 1 9
51 100 9
76 73 7
60 76 3
23 26 6
46 27 3
93 24 2
66 94 1
93 48 3
21 89 9
65 18 8
15 41 1
63 23 4
64 72 9
31 60 5
98 44 10
