100 218
2 18 10
27 23 2
80 92 2
34 26 2
16 63 3
80 63 4
19 26 9
87 74 1
41 56 4
1 58 2
57 94 8
40 19 9
34 30 10
61 49 2
14 78 2
25 24 6
60 39 2
81 8 4
32 84 3
77 34 1
100 42 3
80 37 4
65 7 5
84 94 3
70 99 4
57 49 1
46 6 8
91 49 3
32 2 3
63 67 3
11 46 10
27 87 1
96 72 1
91 15 4
3 33 9
17 50 5
70 65 5
86 63 3
66 1 6
38 17 8
24 23 10
51 35 3
59 39 1
4 85 2
14 45 4
66 83 3
84 41 7
69 73 8
53 21 4
26 78 1
34 1 7
51 41 1
17 54 1
99 80 8
12 64 7
74 38 1
19 14 3
51 28 5
38 40 4
50 10 9
78 63 2
33 48 6
46 56 5
87 41 5
2 22 10
75 45 9
10 46 8
46 77 8
10 77 7
98 4 9
16 78 3
70 96 5
21 28 5
84 96 3
87 3 1
75 80 3
22 62 9
24 95 1
19 20 10
34 41 6
89 86 7
1 86 6
70 82 10
4 25 10
50 54 10
31 27 10
92 53 5
36 5 4
76 41 10
37 8 5
21 27 8
51 40 1
73 81 10
75 84 9
47 100 6
100 52 3
1 92 6
71 95 8
7 83 8
57 18 2
19 62 6
79 56 2
84 58 9
96 71 9
97 36 10
97 91 5
67 13 8
67 98 6
51 70 3
57 8 5
91 9 10
85 86 9
50 12 2
4 50 2
55 43 1
66 77 9
56 67 10
55 8 8
45 30 8
74 33 1
76 76 10
36 80 9
41 47 3
82 76 7
48 49 7
39 56 9
95 2 6
99 14 6
62 45 1
93 55 4
51 46 7
76 1 3
11 33 1
32 76 3
77 92 2
45 47 7
3 82 3
73 63 3
77 32 6
89 61 3
5 96 6
5 1 6
4 2 1
61 100 2
55 42 2
36 5 2
8 52 8
24 50 4
12 24 5
67 100 7
71 56 1
59 43 5
84 76 4
81 25 10
37 10 4
60 94 9
13 50 10
49 53 4
4 3 6
38 31 7
25 90 3
29 61 4
2 32 4
11 36 5
51 13 1
83 44 6
48 37 4
34 30 5
18 84 6
70 43 4
76 50 1
46 10 5
3 54 2
18 21 9
34 24 8
42 70 6
4 89 6
94 2 4
55 90 7
61 24 5
73 1 2
56 35 2
45 40 2
79 68 9
11 38 2
95 78 9
72 34 3
46 72 4
99 4 8
7 3 6
90 95 4
22 93 8
36 94 2
94 26 2
85 75 4
14 82 4
66 100 9
53 72 3
63 58 2
86 74 2
90 99 9
73 46 10
21 26 9
47 56 2
22 64 6
80 84 8
2 37 8
89 80 10
2 71 3
96 48 1
70 33 7
86 51 10
66 72 3
19 55 8
39 100 9
72 38 7
1 27 6
88 58 1
