5000 5117
1995 1605 3
1096 4655 6
1671 3144 6
2892 2634 7
3784 1795 4
457 2032 10
4815 1260 2
2041 3901 2
1556 2339 3
4005 2990 8
395 4729 2
3341 2802 1
2439 1188 1
4199 4096 1
608 2459 9
4123 4012 10
2592 4719 8
2386 1914 5
818 3871 4
1133 3428 6
3347 3330 10
1031 3331 4
3113 3826 2
2939 3955 10
1467 3249 3
3467 2816 7
3797 1348 9
3653 1566 2
4029 1634 5
4019 3325 2
4359 4694 8
1145 4280 3
3179 4310 1
4377 219 5
2652 4365 5
4687 2684 5
1185 292 9
416 668 9
3927 816 8
4240 4204 6
55 1508 10
2906 1068 3
615 3876 7
2600 89 9
3349 3847 8
4003 1550 2
1492 1295 6
2949 3787 3
3894 425 2
551 4067 2
2266 3163 6
4662 202 9
2133 1336 10
575 3083 6
3687 691 2
3742 3509 2
1399 1567 5
903 1602 3
3933 3431 9
1760 1250 3
2519 4491 6
1752 4495 3
4626 3728 7
3521 4940 7
4815 631 4
851 4742 10
4347 4969 3
4868 2079 6
1049 1183 9
2803 4077 4
4262 1016 4
4936 941 9
369 2638 4
1714 824 7
4829 2298 7
210 492 7
2083 1810 5
1894 339 9
3862 4931 5
1002 2615 9
4131 2399 9
1458 3930 6
1810 1389 6
1659 4971 7
2051 1154 10
1339 4885 9
4161 2843 2
157 4915 10
4084 813 1
4681 4351 6
117 2572 5
4954 2591 7
1057 1431 5
2023 2150 7
3937 4042 5
3822 1542 10
842 2422 7
342 4359 2
4128 1773 8
3802 2492 5
714 140 5
1292 1721 3
409 1467 9
1579 4735 2
3123 641 5
1254 2978 6
620 4986 4
1305 4740 7
3368 4357 3
4965 3989 6
2756 101 6
4717 1531 1
4487 1670 9
4025 2037 10
1578 482 6
551 215 7
3695 4196 9
2983 371 8
368 4702 1
3847 2284 6
4027 4307 9
4927 495 5
2296 2369 8
1807 3150 1
3421 4 7
3851 158 9
1911 2017 10
1638 4214 5
2267 2827 7
4328 1295 7
2699 3389 3
3756 4871 6
3654 1816 6
952 2783 10
4982 4800 2
1048 1775 5
498 493 9
3089 3785 8
1553 1525 7
485 1807 6
1611 1160 6
3022 1515 3
3826 1727 3
3495 4642 8
64 2496 7
1186 4899 3
384 2818 8
1254 1573 10
4673 2803 2
3362 2080 1
2960 1438 6
4963 1442 3
4805 3361 10
641 1050 6
1141 4484 6
4942 3156 3
2649 3376 1
366 146 3
986 4488 8
2610 3140 5
2458 1055 4
2030 1793 8
4562 3881 1
2497 3614 6
3533 71 5
4228 4024 4
1188 1447 3
2735 197 1
3174 3454 3
1169 2473 9
2458 1279 4
1789 3475 3
3177 1718 4
2862 157 8
10 1014 6
2372 1131 1
4284 3179 7
706 2818 3
2963 841 3
1204 3454 4
2903 1500 7
374 2154 4
1482 2706 5
2099 3984 10
1880 3136 5
3521 4018 5
3294 1546 8
1709 1160 4
3764 3208 8
1003 667 1
4994 4394 6
3151 4843 2
1303 893 2
493 4676 8
4570 3791 2
1347 2572 1
