500 799
500 308 2
117 105 5
46 208 6
431 396 3
236 269 2
169 151 1
413 58 4
457 289 2
477 143 5
223 398 3
456 425 8
177 283 6
448 474 7
419 102 9
40 218 4
230 295 1
118 425 2
396 148 5
198 118 4
456 148 9
104 278 6
74 275 4
262 389 8
308 337 7
187 255 8
296 368 6
395 154 7
97 124 3
277 114 2
90 390 9
237 274 7
333 433 4
484 359 9
378 239 6
250 425 3
320 230 7
367 93 5
492 162 9
462 287 4
289 299 8
410 253 1
484 477 8
356 205 8
32 477 7
150 471 7
322 402 3
7 393 10
373 201 10
488 153 1
161 135 7
274 326 9
470 404 1
353 458 8
484 193 6
41 388 10
263 240 3
449 69 3
5 455 3
263 29 3
236 128 7
408 431 4
430 171 9
308 285 7
158 16 6
267 78 10
283 19 9
408 354 3
413 454 2
308 395 1
247 290 4
214 281 4
153 485 5
116 311 7
400 80 2
98 159 7
177 320 2
189 341 10
174 211 2
144 361 10
283 111 3
406 131 1
387 159 4
341 484 3
162 293 9
45 91 3
220 248 4
23 465 5
256 222 9
235 408 5
419 310 2
420 264 10
466 68 8
131 270 9
399 11 4
478 42 10
276 301 2
400 60 2
420 88 8
487 89 7
196 87 1
443 436 8
190 234 2
451 158 2
189 398 6
285 401 7
181 264 4
280 445 3
315 192 5
278 91 10
7 346 8
199 329 3
325 448 5
214 154 10
205 325 3
427 194 5
375 285 4
354 352 9
495 350 3
395 451 5
239 492 8
61 367 2
349 204 9
173 25 5
7 436 3
330 425 6
323 194 8
50 455 6
164 232 4
193 163 5
233 289 4
392 499 6
91 190 5
104 304 1
362 498 9
497 230 9
346 98 7
189 359 8
321 363 1
436 262 10
13 50 3
17 16 7
214 13 6
133 463 5
18 252 4
251 291 1
342 8 4
136 356 8
333 285 5
199 253 8
75 52 9
400 346 2
196 212 1
307 141 9
166 174 9
389 323 4
1 305 2
197 257 9
330 500 10
390 486 3
329 175 9
292 118 10
157 447 4
290 333 5
194 145 2
296 49 1
326 454 5
398 211 1
478 259 4
249 388 5
181 463 1
1 363 2
29 482 8
476 241 8
186 141 4
14 206 6
365 335 6
339 314 8
87 54 4
24 395 10
348 165 4
56 387 7
359 322 5
295 218 8
268 423 5
289 151 2
239 444 9
374 350 2
313 113 1
487 462 5
412 445 9
261 106 3
184 371 9
34 206 10
409 99 7
329 405 6
306 215 6
91 6 3
399 358 6
40 52 8
269 210 2
308 198 2
465 163 6
121 441 9
347 162 5
33 80 1
25 427 1
99 60 8
120 54 3
424 418 1
361 429 10
455 380 6
248 12 10
