200 500
0 1 2
1 2 8
2 3 10
3 4 3
4 5 8
5 6 2
6 7 8
7 8 10
8 9 5
9 10 7
10 11 10
11 12 1
12 13 10
13 14 9
14 15 3
15 16 9
16 17 7
17 18 10
18 19 2
19 20 3
20 21 9
21 22 7
22 23 8
23 24 9
24 25 5
25 26 9
26 27 10
27 28 8
28 29 1
29 30 5
30 31 1
31 32 8
32 33 3
33 34 9
34 35 4
35 36 6
36 37 1
37 38 3
38 39 3
39 40 4
40 41 10
41 42 2
42 43 5
43 44 5
44 45 1
45 46 2
46 47 6
47 48 1
48 49 8
49 50 9
50 51 1
51 52 5
52 53 7
53 54 2
54 55 6
55 56 4
56 57 10
57 58 8
58 59 9
59 60 6
60 61 8
61 62 7
62 63 5
63 64 4
64 65 2
65 66 8
66 67 4
67 68 5
68 69 2
69 70 5
70 71 8
71 72 4
72 73 5
73 74 2
74 75 2
75 76 4
76 77 5
77 78 4
78 79 5
79 80 6
80 81 2
81 82 8
82 83 3
83 84 7
84 85 10
85 86 7
86 87 2
87 88 10
88 89 5
89 90 10
90 91 5
91 92 3
92 93 8
93 94 4
94 95 1
95 96 7
96 97 3
97 98 8
98 99 4
99 100 3
100 101 2
101 102 5
102 103 9
103 104 9
104 105 10
105 106 10
106 107 7
107 108 7
108 109 8
109 110 4
110 111 5
111 112 10
112 113 6
113 114 6
114 115 2
115 116 7
116 117 2
117 118 4
118 119 2
119 120 4
120 121 2
121 122 5
122 123 7
123 124 3
124 125 8
125 126 7
126 127 6
127 128 7
128 129 1
129 130 10
130 131 6
131 132 4
132 133 4
133 134 5
134 135 9
135 136 9
136 137 4
137 138 9
138 139 1
139 140 3
140 141 4
141 142 1
142 143 7
143 144 9
144 145 4
145 146 7
146 147 5
147 148 10
148 149 10
149 150 4
150 151 10
151 152 6
152 153 8
153 154 10
154 155 1
155 156 6
156 157 6
157 158 8
158 159 10
159 160 3
160 161 2
161 162 3
162 163 2
163 164 5
164 165 2
165 166 5
166 167 2
167 168 8
168 169 3
169 170 8
170 171 1
171 172 6
172 173 5
173 174 2
174 175 9
175 176 8
176 177 8
177 178 8
178 179 9
179 180 5
180 181 9
181 182 3
182 183 3
183 184 4
184 185 3
185 186 4
186 187 9
187 188 1
188 189 5
189 190 5
190 191 3
191 192 2
192 193 2
193 194 8
194 195 10
195 196 1
196 197 6
197 198 2
198 199 9
199 200 3
27 72 2
37 7 8
192 181 8
55 121 10
91 55 4
181 136 6
83 76 9
6 6 3
26 59 6
62 164 4
188 83 4
34 176 2
154 61 7
188 82 2
24 118 10
40 144 7
107 123 9
182 129 2
175 55 1
176 37 5
37 38 9
94 110 1
51 60 7
10 184 8
115 38 1
80 88 4
115 148 1
114 198 3
15 40 3
30 56 9
73 32 5
129 185 6
133 44 9
161 34 5
130 97 5
112 104 10
94 121 6
154 176 5
136 137 9
190 13 6
177 129 1
37 44 2
156 77 7
89 176 8
111 132 8
61 109 4
142 115 2
19 111 6
51 124 8
72 198 6
103 82 7
112 197 7
183 103 10
80 63 3
65 59 7
82 120 7
2 101 3
22 162 3
175 54 8
101 145 3
5 97 10
112 186 6
154 19 2
129 13 5
147 194 2
80 141 7
43 12 2
136 59 6
12 132 4
55 144 10
184 137 10
134 127 8
95 87 7
155 149 9
116 14 6
53 172 4
36 130 5
189 156 8
172 133 8
136 198 5
7 176 9
186 89 9
171 149 5
182 121 8
138 90 10
44 119 6
131 49 1
146 191 10
54 68 4
97 61 5
27 167 9
85 180 7
74 88 1
148 41 6
87 94 7
163 102 8
105 105 10
116 3 2
102 148 8
81 160 6
140 82 3
10 65 7
183 170 10
90 99 1
4 104 4
154 163 5
1 19 10
149 9 10
168 28 5
41 197 9
170 32 9
199 88 7
9 96 9
189 171 2
42 44 5
13 22 2
6 1 2
152 18 1
191 150 10
67 29 10
28 0 8
190 177 4
66 50 3
86 162 4
112 173 9
93 28 4
34 64 3
174 152 9
120 47 8
99 12 3
177 176 8
15 99 4
199 140 1
46 106 6
57 17 10
144 158 8
63 76 4
27 122 9
127 94 9
87 77 1
175 112 1
152 109 2
176 89 1
101 111 7
172 193 4
146 17 1
56 173 2
173 175 1
132 50 1
