40 100
0 1 8
1 2 6
2 3 1
3 4 10
4 5 1
5 6 8
6 7 10
7 8 4
8 9 1
9 10 6
10 11 7
11 12 4
12 13 6
13 14 5
14 15 4
15 16 7
16 17 6
17 18 10
18 19 9
19 20 2
20 21 5
21 22 5
22 23 8
23 24 9
24 25 2
25 26 2
26 27 10
27 28 6
28 29 2
29 30 6
30 31 5
31 32 7
32 33 6
33 34 2
34 35 5
35 36 10
36 37 7
37 38 10
38 39 3
39 40 3
20 39 9
31 4 6
39 14 3
18 34 4
4 9 10
34 24 1
36 10 4
18 38 9
22 33 6
3 9 1
22 1 8
35 11 9
30 24 1
1 8 10
32 20 3
17 35 5
30 35 3
12 24 9
15 1 7
15 22 5
14 3 1
19 15 2
38 23 4
29 13 1
13 22 6
23 5 8
33 9 9
6 29 8
14 39 9
31 2 3
29 7 8
39 17 4
4 22 9
38 18 7
28 8 5
33 16 9
8 39 6
37 19 8
34 28 7
32 5 9
8 22 3
36 17 3
28 15 1
25 27 2
6 0 1
2 36 1
3 15 8
5 31 1
32 10 10
18 20 8
5 13 7
17 37 1
3 13 7
39 34 8
11 37 3
29 4 10
32 3 2
34 6 5
1 19 2
8 36 4
