1000 1220
976 76 7
336 131 4
146 34 10
219 274 2
384 487 8
988 109 7
558 103 7
311 287 5
477 301 2
60 234 4
780 875 3
213 46 9
824 834 1
646 331 6
587 240 2
508 860 5
658 223 3
444 647 7
673 953 8
621 320 1
631 258 4
399 172 9
600 193 2
855 242 7
646 703 7
23 573 2
522 813 9
284 39 8
57 88 9
791 145 9
767 61 2
721 345 2
689 316 8
402 326 4
895 66 7
34 380 4
375 61 8
876 33 2
47 615 4
913 871 7
235 18 9
350 285 8
162 396 10
94 7 3
94 430 4
882 774 10
719 742 3
30 126 4
791 972 2
195 178 2
634 328 4
998 923 9
619 83 6
253 891 5
760 772 7
733 142 1
787 131 7
772 257 8
566 197 5
109 31 6
545 140 6
100 1 9
783 446 1
306 27 7
564 536 9
514 772 1
684 477 10
500 967 4
75 167 10
109 56 10
205 5 9
814 377 3
428 485 10
223 123 6
430 589 8
928 377 10
565 612 10
958 187 6
552 567 5
992 684 1
458 603 7
577 355 6
650 122 4
193 397 1
856 35 10
893 145 3
737 430 8
518 725 7
11 261 6
36 806 9
213 694 5
952 212 4
450 724 1
373 778 8
610 957 7
88 344 3
59 976 4
963 992 4
427 860 7
458 202 4
302 485 1
148 686 2
771 982 7
289 139 3
660 62 10
144 979 9
165 392 7
769 366 8
810 108 2
717 406 7
83 856 10
759 805 7
350 427 6
293 761 9
960 469 2
450 337 3
48 356 9
493 832 8
4 163 4
975 189 7
218 428 9
841 486 6
270 398 1
628 193 1
249 79 3
196 274 5
922 541 5
166 359 9
914 41 1
94 345 4
318 203 6
479 231 4
418 241 4
693 282 5
147 916 5
279 80 10
363 880 3
357 859 8
197 83 10
248 832 3
79 81 10
151 814 9
262 669 6
442 642 5
900 867 2
260 745 3
26 806 5
218 926 5
233 268 1
886 149 2
858 968 2
613 378 9
152 292 10
281 56 1
401 891 2
862 688 2
596 540 1
365 406 9
604 232 1
22 364 4
607 856 9
17 345 10
861 192 1
265 933 7
400 869 10
164 335 3
877 606 3
949 434 3
958 105 8
953 92 3
138 104 10
745 55 8
875 313 7
88 268 3
608 152 4
890 575 6
143 214 1
261 425 9
196 496 10
181 633 1
996 297 7
22 174 9
990 838 9
774 627 7
742 208 10
970 631 2
299 260 8
981 858 8
636 584 6
970 855 10
588 491 5
360 670 1
866 267 4
857 507 8
620 590 8
830 697 10
740 970 1
585 571 5
734 857 6
183 901 1
962 405 4
404 700 2
660 974 1
370 627 8
383 728 4
894 888 4
105 846 8
26 415 8
405 2 9
97 778 3
215 775 2
614 384 2
978 14 3
904 900 8
523 551 9
748 465 8
771 489 6
885 437 7
88 92 4
718 255 2
441 883 7
803 16 4
459 876 4
251 96 5
686 634 3
969 596 7
401 231 8
745 912 4
42 801 8
145 516 8
217 992 7
918 89 3
616 118 2
275 924 2
849 7 6
887 477 8
341 707 3
240 690 8
807 701 7
94 892 10
900 40 7
232 145 5
86 948 6
669 786 6
485 873 1
60 207 10
201 27 7
833 183 5
690 935 4
126 964 8
284 782 3
706 124 6
616 972 10
577 140 3
885 929 8
264 969 3
551 11 4
238 335 7
449 158 6
299 668 1
659 528 9
629 260 3
198 844 5
564 8 2
407 529 9
318 518 7
15 507 2
656 844 7
510 879 1
607 481 7
472 381 9
307 784 7
210 446 8
384 560 4
499 208 3
473 465 2
483 402 8
555 80 5
355 245 3
243 417 5
938 938 1
97 245 3
477 183 9
267 632 8
986 865 2
124 302 9
924 155 3
14 140 9
283 42 2
213 532 2
802 122 6
719 77 1
801 151 1
637 326 9
674 160 2
784 695 10
933 266 7
842 807 4
591 678 9
857 624 10
476 950 5
149 897 7
804 831 1
717 279 10
286 539 9
99 152 9
846 737 6
250 483 10
177 931 5
704 972 2
321 917 7
207 84 6
36 798 9
320 66 5
455 255 10
141 411 2
902 822 4
563 101 10
996 34 8
487 323 3
965 65 8
235 191 6
398 656 3
803 506 7
962 451 9
245 412 4
746 278 6
140 996 10
415 49 4
541 136 8
282 769 8
534 952 6
602 58 8
594 630 8
268 163 10
350 928 1
368 926 7
762 763 9
764 714 5
863 389 7
163 715 3
373 745 4
470 411 6
579 802 5
96 700 7
229 901 5
749 580 9
311 822 4
449 731 5
599 623 5
512 128 9
143 726 6
867 162 7
953 516 6
390 940 2
401 985 5
896 702 6
483 306 3
849 706 7
320 610 2
236 311 2
67 262 7
429 153 10
398 374 2
158 38 9
926 893 4
579 537 6
104 458 10
857 931 9
149 173 5
733 937 9
811 536 8
429 594 1
587 410 9
624 506 7
926 174 8
916 444 6
653 72 9
827 404 1
303 64 9
886 913 10
528 75 5
114 295 2
291 904 3
493 173 7
27 677 6
746 764 10
137 721 1
362 488 2
903 978 7
585 561 9
187 794 3
845 761 5
176 747 9
922 717 5
449 416 2
66 625 9
960 276 6
815 273 3
976 34 7
641 331 6
65 226 9
452 71 2
149 401 7
582 204 9
225 658 7
35 836 1
694 238 4
255 231 3
445 763 2
226 404 10
884 410 8
336 21 5
782 403 2
971 966 1
133 834 9
61 331 8
494 2 5
105 244 7
448 105 4
187 948 6
599 687 6
4 465 7
586 632 3
500 134 1
281 31 5
645 343 6
966 348 6
624 169 6
546 143 9
246 108 4
139 843 3
408 70 2
384 788 3
422 65 9
937 408 3
924 482 7
509 824 8
739 468 4
102 227 8
510 822 7
721 207 5
242 781 2
330 274 7
525 187 8
971 514 1
16 582 10
241 601 2
347 614 10
820 718 7
392 678 9
226 514 7
616 988 4
959 763 5
177 555 2
73 275 7
787 182 3
589 87 8
937 814 4
161 760 2
129 338 7
539 121 9
278 923 5
906 939 4
839 683 10
500 656 4
267 447 1
509 616 2
391 431 7
796 314 1
374 381 7
944 965 2
581 380 9
351 624 3
550 187 6
531 383 1
843 902 7
421 981 1
241 10 10
131 356 8
285 663 9
641 80 1
482 193 1
702 828 6
398 19 10
653 244 7
691 779 8
731 935 3
816 786 4
800 688 4
330 903 10
51 934 5
178 995 6
372 72 5
932 965 9
626 344 1
447 152 8
453 228 1
748 253 4
748 252 3
362 453 6
994 140 4
201 637 4
261 571 4
592 155 10
904 379 10
916 777 5
420 149 10
20 55 10
355 618 3
920 379 4
983 95 2
318 898 6
484 435 6
723 819 2
274 789 2
588 21 9
393 48 10
604 909 5
275 80 4
428 838 8
747 96 5
390 892 5
866 446 1
627 521 2
82 318 5
774 492 6
913 207 3
431 136 7
772 295 8
620 234 6
814 661 10
46 707 2
927 344 9
262 367 2
745 875 10
221 556 3
204 540 6
559 690 7
479 535 8
801 245 10
996 343 9
245 853 2
180 971 7
434 259 6
282 347 1
311 146 7
525 836 8
72 623 5
1 122 9
916 536 6
827 996 2
642 720 4
3 607 9
507 802 5
121 265 3
48 716 3
863 720 6
286 443 1
340 903 10
804 523 2
626 572 2
317 274 3
659 787 9
761 776 5
851 701 7
260 64 4
825 282 4
804 800 8
559 845 8
568 904 7
297 957 6
868 194 7
335 393 7
991 315 10
850 995 7
810 719 1
47 749 5
295 645 1
692 499 6
653 127 1
296 382 6
639 766 9
141 820 6
431 286 5
934 692 7
147 285 9
921 79 10
574 550 5
416 836 9
222 217 1
352 875 4
734 908 10
539 804 8
924 616 7
917 674 8
589 631 7
266 580 3
719 505 8
951 707 2
421 185 7
977 26 2
969 357 4
457 258 6
343 898 7
918 507 7
881 980 9
676 561 7
326 853 10
367 612 9
810 183 6
799 792 1
984 811 10
984 940 2
603 153 10
445 644 2
77 718 1
500 118 3
794 960 7
965 561 8
82 404 7
661 634 5
510 621 3
52 917 7
791 969 7
275 18 5
717 914 6
359 931 2
772 603 4
118 775 9
697 37 1
658 918 7
672 294 8
866 810 5
497 925 3
906 504 1
327 819 5
722 849 5
644 226 4
343 451 6
473 540 8
862 869 6
974 628 6
274 295 4
419 824 1
141 241 6
39 237 2
207 576 8
582 165 3
458 534 2
218 507 7
358 319 8
740 927 2
935 863 9
90 447 3
931 993 5
447 540 7
284 925 10
140 841 3
798 520 7
72 813 2
652 336 7
656 187 10
527 217 6
473 496 9
269 855 5
457 389 5
159 970 1
460 666 1
493 587 8
941 465 7
114 184 2
728 842 2
267 394 9
447 324 4
868 543 6
607 605 1
291 428 6
96 360 9
852 860 6
85 649 1
742 539 6
894 481 7
883 280 9
603 709 5
509 580 5
923 401 7
273 505 9
474 839 5
730 35 3
871 558 7
123 6 7
745 853 7
268 546 5
550 833 8
435 366 9
947 205 9
845 500 9
844 467 6
95 719 1
155 687 5
50 742 8
635 859 9
743 585 7
957 786 8
473 827 5
401 881 7
394 633 2
305 312 6
795 478 4
454 644 2
314 518 6
897 367 10
980 410 9
554 810 5
651 988 6
506 314 5
496 157 1
789 575 8
258 476 2
871 951 5
59 620 10
819 763 4
254 665 2
832 930 5
39 171 9
215 30 10
748 137 1
498 516 1
842 909 7
680 994 1
555 405 9
463 769 10
547 78 3
348 259 3
700 509 8
604 588 2
544 656 9
120 692 4
770 879 9
818 795 3
120 831 4
702 662 1
953 135 7
638 229 7
359 732 2
821 462 1
29 67 9
407 346 3
999 521 9
604 482 2
843 318 8
104 644 5
490 652 2
448 452 9
513 991 9
772 403 7
445 655 9
367 315 10
442 81 6
326 868 9
259 860 10
920 921 8
787 465 3
161 768 8
797 699 4
164 418 4
621 626 1
53 730 1
820 779 10
732 677 2
697 711 8
357 102 3
700 961 6
98 821 6
987 575 2
616 10 9
153 524 8
234 410 1
279 757 7
620 645 5
981 58 8
86 636 5
423 905 5
910 342 6
574 834 1
623 325 2
524 982 8
195 864 1
799 815 6
743 284 7
655 35 6
580 817 10
682 533 9
598 157 8
680 67 4
709 563 7
633 603 5
562 804 7
812 845 2
210 506 3
666 67 5
582 432 7
690 251 3
466 760 7
604 277 4
252 585 1
169 46 5
501 639 6
859 764 6
306 233 3
919 749 7
197 726 6
955 857 6
164 62 5
277 908 7
109 98 7
777 540 10
301 205 7
359 735 9
138 989 8
706 688 10
990 44 2
522 687 10
363 929 9
784 445 6
204 473 2
52 778 5
458 309 6
488 561 2
487 515 4
841 519 7
118 422 10
649 631 5
410 901 6
147 766 1
13 698 8
585 162 8
651 664 9
957 292 2
197 463 4
317 952 6
364 124 10
682 537 1
70 822 9
539 187 7
186 230 10
77 845 3
605 798 1
245 32 4
123 446 2
113 185 10
951 174 9
523 271 6
796 950 4
241 746 1
472 811 10
258 346 1
431 957 10
519 76 9
981 40 1
456 371 5
354 753 10
738 756 3
308 540 8
529 695 9
888 139 3
270 938 1
709 547 7
541 766 7
670 793 8
459 341 7
404 74 8
253 185 6
547 840 4
48 552 5
400 160 3
772 84 5
60 94 5
300 260 10
327 903 2
870 752 6
523 830 8
173 411 2
868 83 6
400 175 2
671 822 8
933 32 7
847 907 4
944 802 7
953 176 3
379 82 2
76 739 4
473 41 8
540 145 5
656 997 9
404 483 3
276 62 9
825 368 1
490 171 10
172 550 10
404 505 4
255 998 4
635 527 9
850 528 7
993 329 9
429 85 1
357 687 5
309 567 7
291 987 2
535 408 2
756 362 6
407 205 7
424 471 9
745 170 2
554 678 5
891 186 10
659 156 3
435 595 1
713 680 7
461 316 6
153 997 6
958 641 1
452 595 10
29 958 8
225 521 2
151 161 10
574 989 4
95 102 3
770 484 8
700 404 5
990 223 5
205 403 6
470 100 9
941 367 7
286 742 6
590 786 1
908 986 9
98 444 1
85 906 9
441 917 10
964 861 9
450 217 8
158 355 1
82 708 1
870 694 2
903 941 1
846 464 9
204 758 5
205 700 4
233 581 10
75 79 8
184 838 6
630 138 10
663 611 1
566 958 2
296 898 4
51 874 4
879 632 10
541 960 10
410 435 2
912 393 7
955 354 8
833 657 1
30 474 1
280 58 5
883 639 1
838 467 4
532 837 6
925 106 10
694 131 5
983 167 10
339 127 8
802 328 10
329 593 1
874 874 8
243 910 1
734 350 2
127 727 2
822 667 7
20 817 6
829 306 4
41 966 6
491 16 9
840 295 1
578 266 9
630 105 7
643 271 8
237 389 5
292 666 9
719 933 1
566 554 8
239 903 6
138 131 1
245 260 3
645 380 9
12 624 8
785 488 5
575 856 2
303 782 2
147 642 7
175 835 3
230 103 1
60 659 2
616 785 6
543 715 3
521 996 6
772 26 3
786 881 1
306 563 8
285 257 3
810 897 3
712 237 9
376 507 6
343 751 3
144 352 7
942 212 2
46 818 2
497 625 1
979 29 5
753 452 7
861 159 2
357 901 8
111 32 2
635 373 1
966 674 1
261 364 8
849 156 3
309 169 7
74 230 8
393 52 10
618 77 6
317 754 6
960 270 4
191 212 7
107 592 6
780 622 3
772 301 8
292 645 7
495 295 1
372 713 4
775 912 8
19 8 5
83 823 5
734 386 1
297 132 9
277 226 10
316 447 4
130 469 6
566 113 1
388 38 9
965 201 3
170 886 3
817 203 2
205 773 5
888 397 3
317 819 4
523 136 7
442 921 10
946 774 10
713 856 5
931 430 1
177 509 7
25 860 8
601 610 5
814 689 4
638 302 2
431 501 9
769 906 7
9 736 1
901 169 8
282 898 3
338 134 8
804 291 7
437 287 4
43 385 9
369 967 4
987 213 1
520 687 9
848 133 8
868 163 7
503 179 3
115 561 2
855 555 4
49 744 2
696 964 8
400 417 2
823 839 2
465 649 4
389 936 3
66 189 10
494 344 2
162 824 8
858 200 5
734 985 3
75 91 9
4 733 5
862 379 7
445 624 3
147 944 4
103 727 9
575 905 2
937 167 10
459 47 7
826 186 10
900 106 2
282 162 8
218 931 4
872 96 3
602 270 6
194 86 1
143 645 7
692 951 10
474 750 3
596 526 4
254 572 9
874 988 2
177 842 1
689 215 6
283 278 7
641 297 2
37 949 5
933 699 7
44 893 5
334 470 8
371 585 4
125 240 1
315 522 4
940 122 9
715 747 7
4 978 6
130 349 4
928 853 6
701 478 1
813 336 8
46 567 4
844 152 5
182 244 8
599 347 6
817 342 3
408 907 8
152 430 1
35 918 1
390 273 1
949 276 8
425 425 10
980 801 7
815 123 10
860 933 3
844 572 3
862 704 10
681 910 9
260 56 8
288 413 8
657 511 2
624 143 9
88 856 8
550 803 9
585 437 6
33 844 8
880 311 9
262 973 3
738 254 8
755 913 9
374 745 1
628 435 8
288 785 4
715 104 7
539 223 6
268 433 3
692 786 2
866 261 6
737 201 9
455 378 3
188 158 3
466 553 4
53 516 7
957 803 9
927 210 5
3 503 2
981 816 4
87 478 10
163 509 2
936 529 9
848 125 9
78 646 6
317 973 3
980 454 4
269 499 10
327 155 7
883 6 4
636 709 6
225 746 7
616 769 10
883 219 5
210 444 9
953 873 9
100 223 1
815 91 10
220 943 4
676 955 5
221 950 10
149 165 5
414 725 8
629 774 4
898 472 6
590 605 2
675 86 7
673 773 5
724 874 9
266 26 6
415 271 6
26 79 5
508 439 4
816 305 8
119 43 9
731 823 4
871 10 3
521 691 1
654 376 3
