40 100
0 1 8
1 2 2
2 3 1
3 4 2
4 5 2
5 6 6
6 7 6
7 8 7
8 9 10
9 10 8
10 11 3
11 12 8
12 13 3
13 14 2
14 15 5
15 16 4
16 17 9
17 18 1
18 19 2
19 20 6
20 21 9
21 22 7
22 23 8
23 24 1
24 25 3
25 26 5
26 27 5
27 28 10
28 29 8
29 30 3
30 31 3
31 32 7
32 33 1
33 34 2
34 35 2
35 36 7
36 37 1
37 38 3
38 39 10
39 40 6
14 0 8
36 30 7
9 7 9
2 31 1
16 16 3
1 21 5
39 29 5
10 37 8
14 29 8
5 21 2
28 33 4
36 18 7
14 18 2
5 15 6
32 4 2
6 4 7
26 9 6
11 31 5
34 1 5
1 8 4
24 19 9
16 1 9
11 39 8
3 31 3
37 17 6
13 12 10
8 1 1
1 0 7
15 22 2
1 31 3
23 32 6
9 20 8
0 36 7
37 8 3
28 1 8
23 13 2
9 7 3
18 6 5
16 25 2
38 18 2
11 8 5
29 8 4
31 26 5
15 25 6
6 13 10
28 3 6
25 33 5
15 15 7
21 21 4
27 9 6
34 39 2
7 19 5
38 2 9
23 9 2
16 31 4
33 36 2
10 1 8
25 33 1
13 14 6
28 1 8
