1000 1456
698 327 9
312 48 4
674 20 2
794 970 2
297 578 8
444 22 10
146 597 1
628 78 8
183 665 1
983 249 4
973 791 7
244 45 1
704 369 3
286 576 10
934 758 7
76 737 8
918 144 2
557 604 7
526 626 1
65 689 1
453 751 8
898 421 6
241 647 7
506 415 10
488 712 10
845 782 1
975 997 5
884 57 6
857 519 8
915 342 4
544 643 2
514 907 3
63 255 10
15 335 6
801 304 9
869 810 8
523 76 1
758 733 5
890 314 1
275 191 3
229 756 9
672 958 7
531 858 6
601 280 6
699 858 7
797 773 10
673 786 3
987 119 10
476 253 9
45 255 5
19 982 5
791 855 2
718 979 10
295 230 1
251 686 4
871 422 5
799 736 6
763 358 5
648 196 8
412 880 9
272 818 1
401 274 8
554 11 10
374 464 4
48 462 7
703 774 10
648 77 1
864 156 5
99 682 1
518 649 6
664 415 2
522 390 4
476 563 5
162 165 3
823 191 7
492 467 10
788 316 1
904 936 6
697 928 6
559 681 1
862 578 1
925 167 10
5 38 9
495 684 1
225 501 1
65 138 5
27 743 8
438 650 3
513 27 3
211 721 1
185 898 4
71 746 6
618 803 8
1000 43 10
761 421 4
832 657 6
731 310 6
614 918 10
115 448 2
111 131 2
831 583 8
105 248 9
945 284 4
221 683 4
571 481 9
879 507 8
186 785 1
995 504 4
170 545 9
94 417 1
989 498 1
251 45 8
718 183 2
60 782 5
43 50 8
812 46 4
980 378 5
878 194 8
318 203 1
532 999 9
756 273 8
463 81 4
83 433 9
57 840 4
777 217 10
799 268 6
302 784 7
286 69 7
340 145 10
27 298 8
525 82 6
880 617 3
376 906 7
485 820 6
665 338 8
901 900 1
857 787 9
617 389 3
661 501 10
784 103 7
460 994 1
964 58 9
437 990 4
373 143 7
947 376 3
374 717 2
265 616 1
295 672 8
565 109 9
98 743 2
988 248 2
212 99 5
551 957 7
378 85 10
471 471 6
846 598 4
155 771 1
128 350 9
568 27 5
12 490 1
302 50 5
660 571 7
351 245 7
687 701 4
922 788 10
590 979 8
635 438 5
548 584 10
555 794 4
920 180 4
810 263 4
879 159 6
585 655 2
156 414 3
137 708 8
348 632 10
726 186 9
346 246 4
725 452 2
718 888 10
435 715 2
566 397 5
88 30 3
29 707 3
788 264 6
397 646 4
97 797 5
451 383 3
220 183 9
621 813 7
426 422 5
734 7 6
879 610 7
503 849 2
906 866 4
965 771 1
520 962 7
74 161 4
106 261 2
937 557 5
877 679 8
992 724 5
940 515 8
720 82 2
278 383 7
83 701 7
384 20 7
360 414 10
389 125 1
644 274 9
515 809 7
840 339 1
607 118 3
722 498 1
307 139 3
124 883 7
514 103 8
514 913 6
419 232 4
726 929 1
926 731 6
641 838 7
929 722 6
977 201 1
24 589 7
328 530 4
996 953 9
295 870 10
62 995 10
924 575 2
826 705 4
790 223 6
721 302 2
586 677 10
496 73 2
781 343 1
538 980 8
736 159 2
508 549 7
242 985 7
797 763 3
672 699 7
127 230 7
53 549 5
869 290 8
877 288 10
333 323 9
586 502 3
89 634 8
981 737 5
861 416 6
505 741 10
222 704 1
363 866 7
577 717 10
214 811 9
979 80 4
731 669 9
746 548 7
782 748 6
445 358 8
453 617 3
676 507 9
193 108 6
912 56 5
510 47 4
581 523 1
523 550 5
135 800 8
776 452 6
380 158 5
753 393 8
21 530 6
192 289 9
938 520 6
302 228 10
662 382 8
734 89 10
917 680 2
124 534 6
571 118 2
455 141 2
942 279 9
291 165 4
985 890 1
990 512 2
359 984 6
56 45 8
361 311 4
208 909 3
426 957 3
208 135 10
931 979 7
38 164 6
277 455 4
396 739 6
516 204 3
376 139 6
729 456 10
262 152 5
667 835 9
267 843 10
210 435 8
950 52 2
410 894 8
626 24 7
181 373 2
119 57 6
61 30 10
588 368 3
411 225 10
74 826 7
193 26 2
492 72 8
642 972 1
539 194 7
759 644 7
293 215 10
863 738 10
30 422 1
165 302 4
299 654 8
923 543 9
614 179 6
370 499 6
353 360 5
114 912 5
640 80 2
780 940 2
972 968 6
784 648 3
82 343 4
492 465 9
591 673 3
170 53 5
735 481 1
741 478 2
380 118 6
252 242 8
944 573 7
646 791 3
125 58 9
846 134 4
954 590 4
504 484 3
894 261 4
458 908 4
776 626 2
357 849 8
221 408 2
851 334 7
623 199 2
812 626 2
809 88 10
982 796 1
790 56 9
728 761 9
79 832 5
520 706 1
550 970 1
425 133 4
897 549 5
287 879 9
701 935 8
416 153 6
282 914 3
764 217 3
531 297 2
111 294 4
549 354 6
216 877 10
546 68 2
749 688 1
781 136 5
509 926 7
112 605 2
148 352 3
405 69 3
279 160 4
928 994 1
501 675 6
704 930 1
981 432 8
649 249 10
637 173 8
86 652 6
278 625 5
412 772 8
411 920 5
882 234 9
753 31 1
945 5 9
737 730 1
82 827 2
227 371 5
739 70 4
907 787 2
261 546 1
90 73 4
272 775 1
1000 383 3
873 908 6
218 596 2
616 424 2
472 545 5
728 7 2
372 132 10
285 206 4
803 310 6
198 356 4
889 703 3
924 182 7
716 85 9
930 766 4
595 172 3
855 636 4
420 385 10
83 966 10
189 416 4
329 520 6
891 205 6
12 170 4
66 516 6
359 699 9
617 167 8
119 862 5
561 360 4
53 613 5
866 701 3
498 587 5
359 418 3
497 912 2
410 700 1
951 558 9
357 905 10
470 48 6
87 69 6
842 448 4
990 128 8
211 765 9
14 50 4
688 13 3
72 5 7
499 403 3
334 612 10
53 140 2
804 739 2
552 672 9
538 759 5
405 833 3
852 996 2
878 975 2
624 733 1
782 543 10
101 699 4
465 499 8
23 216 8
185 709 1
86 349 4
517 45 7
880 447 10
843 991 7
157 168 6
157 886 8
575 857 1
17 89 10
819 515 3
905 136 10
821 543 10
320 754 7
899 668 8
459 597 7
402 246 3
687 618 5
68 233 7
819 647 5
290 362 4
957 372 3
895 647 10
983 207 3
727 245 6
911 225 1
846 157 4
102 393 5
694 222 3
769 763 7
308 904 9
37 578 8
277 144 3
553 439 9
214 760 3
887 899 5
921 536 1
613 193 6
155 890 2
690 427 3
232 692 2
8 689 5
987 836 10
617 965 10
468 367 3
331 643 5
591 990 7
83 815 3
134 585 3
842 147 5
993 476 8
967 187 9
325 829 7
866 26 6
323 102 6
61 717 4
661 672 2
416 427 6
500 624 7
187 589 10
575 147 9
326 114 2
231 375 5
108 319 10
575 937 1
723 347 4
591 960 5
682 59 5
798 823 9
879 796 6
614 892 2
460 41 9
68 541 9
54 396 3
436 361 10
68 20 5
64 362 2
933 777 5
675 463 3
2 967 6
2 413 3
583 711 2
613 723 6
569 931 7
700 100 4
988 39 1
718 245 1
377 456 1
587 814 2
432 6 5
204 811 5
917 861 10
953 140 3
112 829 8
290 582 7
570 794 3
864 47 6
412 603 10
708 323 10
825 350 1
121 597 10
607 309 3
621 185 10
633 370 2
857 314 4
909 968 3
71 720 10
93 687 9
885 939 8
244 271 2
820 888 8
661 224 7
603 228 4
364 978 9
197 977 9
815 857 7
966 662 7
358 478 7
755 8 9
457 126 10
561 832 3
760 668 8
181 293 9
728 96 1
884 193 4
412 835 7
450 815 5
472 196 5
879 889 2
180 457 3
904 673 8
1 404 4
897 404 2
666 886 2
492 98 10
847 554 6
180 521 10
677 694 3
879 70 5
944 830 6
754 321 4
770 29 6
712 48 7
314 924 1
74 507 10
178 242 3
301 652 1
33 404 10
674 131 1
33 960 4
433 643 4
463 284 6
215 642 10
267 437 2
769 518 9
878 624 1
914 820 8
969 136 10
508 415 8
446 227 1
564 862 4
351 83 6
869 420 9
137 18 10
75 948 5
86 429 4
983 327 8
336 512 1
480 435 8
375 717 5
803 288 1
309 396 1
362 548 10
270 300 9
929 68 8
444 668 2
188 442 7
500 950 10
726 255 1
425 304 6
17 858 9
740 431 10
710 316 9
905 674 2
148 37 9
93 611 9
133 560 1
288 170 8
940 648 9
981 39 1
795 21 4
529 254 5
148 871 9
619 484 5
26 822 7
478 570 6
347 445 8
716 560 10
21 187 9
106 989 1
509 701 7
245 425 5
579 958 8
684 129 7
634 59 2
739 973 9
48 479 3
509 423 2
223 997 3
832 824 7
224 373 7
908 33 10
223 8 2
630 921 4
779 644 5
301 908 2
145 954 5
111 213 6
757 510 4
196 112 5
79 783 2
168 575 4
309 576 7
138 227 1
491 868 1
407 390 7
853 618 10
464 801 5
478 337 10
655 489 7
964 316 7
275 377 10
205 788 4
922 306 2
143 390 4
487 253 10
970 50 7
917 957 1
33 290 8
553 833 6
958 940 7
