200 500
0 1 4
1 2 7
2 3 9
3 4 8
4 5 1
5 6 2
6 7 8
7 8 7
8 9 2
9 10 10
10 11 5
11 12 2
12 13 6
13 14 6
14 15 6
15 16 3
16 17 7
17 18 2
18 19 9
19 20 10
20 21 1
21 22 9
22 23 1
23 24 5
24 25 2
25 26 6
26 27 4
27 28 6
28 29 9
29 30 6
30 31 9
31 32 5
32 33 3
33 34 7
34 35 2
35 36 2
36 37 10
37 38 5
38 39 6
39 40 3
40 41 3
41 42 8
42 43 5
43 44 10
44 45 3
45 46 6
46 47 8
47 48 2
48 49 2
49 50 1
50 51 2
51 52 1
52 53 1
53 54 8
54 55 2
55 56 10
56 57 9
57 58 6
58 59 3
59 60 2
60 61 8
61 62 9
62 63 5
63 64 9
64 65 5
65 66 7
66 67 7
67 68 9
68 69 3
69 70 4
70 71 6
71 72 1
72 73 5
73 74 4
74 75 10
75 76 2
76 77 6
77 78 3
78 79 3
79 80 3
80 81 6
81 82 4
82 83 8
83 84 4
84 85 1
85 86 4
86 87 1
87 88 2
88 89 10
89 90 5
90 91 2
91 92 8
92 93 8
93 94 8
94 95 8
95 96 5
96 97 5
97 98 4
98 99 8
99 100 1
100 101 3
101 102 5
102 103 8
103 104 10
104 105 3
105 106 2
106 107 10
107 108 4
108 109 9
109 110 8
110 111 5
111 112 2
112 113 10
113 114 2
114 115 1
115 116 6
116 117 3
117 118 3
118 119 10
119 120 3
120 121 4
121 122 9
122 123 3
123 124 10
124 125 9
125 126 5
126 127 3
127 128 4
128 129 1
129 130 8
130 131 7
131 132 9
132 133 3
133 134 7
134 135 9
135 136 4
136 137 9
137 138 5
138 139 2
139 140 4
140 141 8
141 142 3
142 143 5
143 144 6
144 145 9
145 146 8
146 147 2
147 148 6
148 149 4
149 150 3
150 151 2
151 152 4
152 153 10
153 154 6
154 155 7
155 156 9
156 157 1
157 158 2
158 159 9
159 160 3
160 161 9
161 162 4
162 163 5
163 164 1
164 165 10
165 166 6
166 167 1
167 168 1
168 169 1
169 170 6
170 171 10
171 172 5
172 173 10
173 174 3
174 175 5
175 176 8
176 177 7
177 178 10
178 179 2
179 180 9
180 181 9
181 182 2
182 183 9
183 184 5
184 185 10
185 186 5
186 187 7
187 188 1
188 189 5
189 190 6
190 191 4
191 192 10
192 193 7
193 194 1
194 195 8
195 196 6
196 197 1
197 198 10
198 199 6
199 200 5
20 48 5
145 152 9
102 65 7
64 100 7
23 54 3
65 148 1
129 144 8
194 133 1
20 164 1
21 163 6
108 155 4
88 1 9
56 151 9
128 95 5
51 15 8
173 11 9
42 156 10
50 6 2
15 151 8
45 91 6
99 65 10
176 44 7
13 147 9
36 134 1
47 140 2
81 173 5
106 9 5
63 12 6
32 73 10
141 197 1
62 160 8
49 73 5
159 63 8
192 197 2
164 33 10
51 187 4
63 144 8
50 188 5
153 33 2
55 193 7
43 198 1
132 188 10
35 153 8
41 131 9
118 101 8
9 84 9
153 91 7
39 113 4
187 102 7
26 13 2
150 145 2
128 163 2
119 111 10
29 104 4
174 171 6
16 152 8
88 19 8
164 157 4
45 20 1
63 14 2
172 176 5
107 56 2
52 124 7
67 9 5
89 105 10
131 68 7
77 176 3
69 147 4
183 116 6
33 99 5
102 123 9
90 194 2
55 26 10
190 184 1
97 115 1
24 29 8
135 129 5
168 20 3
139 58 7
132 158 8
156 141 6
68 60 3
186 122 5
151 16 3
37 161 10
103 27 5
26 147 6
132 109 7
5 181 9
73 43 2
162 192 8
12 69 7
174 18 4
96 188 10
122 45 9
175 87 1
111 178 10
27 177 3
2 3 4
136 94 6
25 163 6
151 69 1
51 18 1
154 153 6
80 64 4
183 65 8
168 113 3
0 13 2
175 54 10
184 172 9
41 106 1
193 147 9
185 65 2
115 188 7
117 43 6
169 64 8
116 147 6
90 7 7
31 17 3
115 9 9
168 73 6
160 132 3
39 139 3
162 142 3
23 80 2
21 162 3
175 35 8
29 176 4
198 11 1
107 154 4
31 15 8
107 163 5
12 109 6
180 152 1
156 141 2
43 30 4
132 114 7
113 154 9
12 196 10
79 167 10
38 180 9
138 136 5
17 153 5
117 168 10
122 140 7
153 91 10
151 70 7
125 80 9
15 107 2
65 83 3
47 75 7
26 76 3
17 129 8
85 59 6
11 179 4
101 71 5
177 16 5
75 114 8
52 194 5
1 177 6
161 173 7
69 11 6
48 79 10
125 69 5
76 188 3
44 48 4
150 185 5
79 106 2
195 113 1
11 155 1
20 13 4
95 125 9
105 122 6
108 195 9
197 156 10
24 160 8
81 94 7
108 148 8
25 82 4
105 170 1
113 111 6
118 131 1
38 110 8
26 88 1
10 16 8
181 14 2
146 27 3
53 113 1
169 34 2
183 23 1
35 198 7
112 134 7
184 81 2
137 30 4
145 1 2
175 50 4
32 34 9
159 35 8
113 185 9
139 19 1
2 59 1
160 33 9
170 63 8
157 79 7
37 63 10
28 109 3
187 74 2
129 142 6
84 53 4
134 172 6
32 90 9
95 140 10
6 156 4
163 148 4
58 44 7
70 1 7
40 24 9
42 55 9
59 53 1
28 151 4
87 38 1
93 83 8
17 94 7
8 17 7
78 120 2
157 64 7
34 153 6
75 36 2
80 39 7
51 11 10
71 75 1
2 63 2
123 169 1
30 156 10
185 181 9
58 127 1
39 47 6
35 111 7
141 54 7
39 154 5
97 34 7
158 139 10
133 171 3
184 76 9
50 76 9
146 22 9
61 10 9
73 63 6
169 36 1
153 62 7
168 173 6
187 171 5
168 47 9
173 192 4
43 157 6
30 118 10
107 69 4
172 151 1
45 131 8
184 109 1
118 136 6
45 156 1
105 22 8
173 125 8
177 1 6
8 37 10
160 29 4
1 50 8
169 167 4
102 150 10
69 151 8
0 20 1
