40 100
0 1 10
1 2 1
2 3 4
3 4 9
4 5 7
5 6 10
6 7 9
7 8 1
8 9 9
9 10 2
10 11 5
11 12 4
12 13 7
13 14 10
14 15 2
15 16 10
16 17 4
17 18 6
18 19 2
19 20 6
20 21 1
21 22 8
22 23 2
23 24 2
24 25 5
25 26 6
26 27 5
27 28 5
28 29 5
29 30 3
30 31 1
31 32 5
32 33 5
33 34 4
34 35 6
35 36 8
36 37 9
37 38 1
38 39 7
39 40 5
20 22 7
25 5 3
10 31 6
24 8 4
30 27 9
20 15 9
30 15 6
21 0 5
0 34 9
39 28 4
25 25 5
32 6 10
27 15 7
7 16 7
11 10 6
29 32 3
18 31 7
7 21 10
12 19 10
6 26 10
10 11 8
29 36 4
22 15 6
23 6 7
22 36 10
36 10 6
37 18 8
28 30 10
32 1 8
39 25 8
5 18 8
39 21 6
10 36 1
11 18 6
27 27 8
36 31 2
12 7 10
25 8 10
25 33 4
8 33 3
6 34 3
7 12 4
25 18 3
36 10 3
34 9 5
6 24 5
38 36 8
2 31 4
32 15 10
19 35 2
6 33 6
13 19 7
23 12 1
28 10 10
13 11 7
27 39 5
2 11 9
23 12 9
0 28 1
31 21 3
