200 500
0 1 3
1 2 9
2 3 6
3 4 6
4 5 6
5 6 5
6 7 4
7 8 5
8 9 7
9 10 6
10 11 5
11 12 9
12 13 10
13 14 10
14 15 5
15 16 6
16 17 7
17 18 2
18 19 4
19 20 1
20 21 3
21 22 3
22 23 9
23 24 1
24 25 10
25 26 10
26 27 1
27 28 9
28 29 1
29 30 1
30 31 10
31 32 5
32 33 9
33 34 3
34 35 9
35 36 7
36 37 7
37 38 1
38 39 2
39 40 2
40 41 10
41 42 5
42 43 7
43 44 10
44 45 4
45 46 10
46 47 9
47 48 5
48 49 2
49 50 2
50 51 7
51 52 1
52 53 1
53 54 2
54 55 10
55 56 2
56 57 1
57 58 6
58 59 3
59 60 5
60 61 5
61 62 2
62 63 6
63 64 3
64 65 7
65 66 6
66 67 10
67 68 2
68 69 9
69 70 8
70 71 2
71 72 7
72 73 7
73 74 1
74 75 7
75 76 8
76 77 10
77 78 7
78 79 1
79 80 6
80 81 9
81 82 3
82 83 1
83 84 7
84 85 2
85 86 5
86 87 1
87 88 10
88 89 9
89 90 1
90 91 8
91 92 6
92 93 9
93 94 10
94 95 3
95 96 8
96 97 2
97 98 3
98 99 3
99 100 3
100 101 6
101 102 1
102 103 7
103 104 7
104 105 8
105 106 4
106 107 5
107 108 6
108 109 2
109 110 4
110 111 6
111 112 10
112 113 8
113 114 9
114 115 3
115 116 2
116 117 2
117 118 5
118 119 5
119 120 1
120 121 5
121 122 6
122 123 5
123 124 7
124 125 2
125 126 8
126 127 4
127 128 5
128 129 6
129 130 2
130 131 7
131 132 10
132 133 6
133 134 1
134 135 10
135 136 1
136 137 2
137 138 1
138 139 5
139 140 4
140 141 10
141 142 3
142 143 2
143 144 7
144 145 5
145 146 1
146 147 5
147 148 7
148 149 4
149 150 3
150 151 9
151 152 6
152 153 6
153 154 9
154 155 10
155 156 9
156 157 10
157 158 7
158 159 3
159 160 10
160 161 6
161 162 5
162 163 7
163 164 4
164 165 10
165 166 10
166 167 7
167 168 6
168 169 7
169 170 9
170 171 9
171 172 5
172 173 8
173 174 1
174 175 7
175 176 7
176 177 9
177 178 2
178 179 8
179 180 10
180 181 2
181 182 1
182 183 2
183 184 2
184 185 10
185 186 6
186 187 4
187 188 9
188 189 10
189 190 4
190 191 6
191 192 2
192 193 4
193 194 5
194 195 5
195 196 5
196 197 3
197 198 8
198 199 9
199 200 1
88 26 2
2 118 9
173 174 5
104 32 4
156 125 4
191 134 1
131 105 1
63 120 3
116 15 5
93 52 5
149 134 7
32 106 10
31 105 9
127 112 2
28 40 7
49 196 3
185 114 2
42 164 2
85 8 1
104 162 7
76 38 9
3 23 4
82 21 6
89 37 1
189 167 4
37 117 8
146 152 4
120 43 5
80 37 7
73 153 9
17 39 10
58 141 7
99 115 4
40 44 3
58 20 5
16 15 5
130 136 3
192 7 10
143 22 1
108 97 8
114 134 5
199 195 2
131 16 6
194 144 5
151 179 1
105 140 9
60 37 6
167 182 8
47 19 4
117 42 7
2 148 7
62 22 9
115 183 6
111 151 1
5 58 4
6 81 7
83 162 9
5 19 7
75 12 5
176 36 5
65 125 9
31 63 3
56 106 10
0 152 3
43 0 5
100 161 9
11 52 4
173 129 7
22 86 3
194 59 9
144 96 7
35 190 2
50 51 4
64 33 4
119 166 9
70 113 8
67 93 6
22 122 5
53 75 2
73 44 8
134 57 8
152 64 3
74 88 3
160 183 2
78 150 6
74 160 7
26 35 6
179 14 4
94 70 3
57 48 1
9 71 10
93 17 4
71 73 6
124 103 2
30 12 8
117 71 6
183 87 5
52 120 4
164 144 5
31 152 4
107 153 9
22 9 6
15 124 10
125 195 3
55 185 7
161 84 4
18 118 4
46 162 10
148 167 7
30 58 8
104 191 1
73 8 4
194 141 5
75 82 6
88 15 1
69 57 9
108 23 10
114 144 2
22 199 5
138 11 4
17 18 5
95 43 9
60 138 3
19 18 4
157 31 4
87 133 6
45 119 1
93 94 1
154 194 7
148 81 4
147 21 2
181 60 6
188 135 6
76 79 1
78 140 1
161 184 4
91 132 10
9 191 1
189 195 6
182 22 9
94 49 9
141 141 8
32 67 1
56 121 1
196 62 1
150 36 1
19 189 5
62 175 7
80 168 4
101 80 4
104 177 2
42 1 3
195 122 9
15 43 5
59 62 6
8 32 1
4 105 3
116 20 9
6 82 10
127 100 1
151 138 6
150 171 7
182 139 10
181 80 6
82 97 9
18 91 4
52 93 6
157 16 6
4 71 6
29 97 4
8 29 4
186 125 1
174 170 10
180 193 5
179 177 8
118 98 7
135 140 7
159 175 6
127 42 1
18 115 9
110 102 8
131 106 4
124 14 8
178 25 3
191 146 6
2 54 3
198 44 1
34 110 2
83 16 5
75 97 9
144 38 6
174 154 9
2 5 6
186 77 4
0 118 5
128 106 6
85 158 3
134 86 3
4 161 5
69 111 1
34 76 1
163 25 4
137 100 8
129 189 8
16 48 10
101 22 7
35 151 10
62 109 5
199 161 5
65 73 2
146 49 1
148 164 10
112 35 10
56 127 7
75 159 5
199 51 5
32 150 5
166 182 9
7 122 8
108 191 7
89 145 4
39 135 1
130 9 7
1 132 2
49 137 10
72 98 3
163 190 6
134 47 6
116 46 6
167 158 8
133 185 6
22 84 9
174 89 8
197 120 3
108 88 8
148 38 1
183 173 2
121 43 2
108 128 8
29 107 9
100 35 7
165 180 7
133 172 7
39 127 3
155 139 10
162 18 5
26 120 1
51 105 9
20 109 10
92 195 8
119 122 5
100 188 9
113 47 9
100 91 9
21 47 4
36 7 2
176 130 2
146 16 1
4 35 7
145 3 3
154 137 3
185 108 5
45 145 6
179 97 9
70 195 1
129 141 4
157 184 7
33 10 8
22 50 7
170 8 5
172 105 3
68 109 6
29 57 10
115 66 6
85 145 6
0 93 1
72 154 10
133 116 6
159 1 5
64 11 4
173 132 10
152 68 4
113 44 10
125 45 7
109 69 7
15 27 8
81 96 6
181 132 2
48 19 7
149 120 7
167 172 1
171 141 1
193 8 3
185 145 5
118 91 7
77 162 2
78 124 10
130 32 3
139 88 4
179 158 1
