1000 1294
109 416 8
699 378 10
575 352 10
358 275 7
900 652 6
180 935 8
968 219 6
327 932 8
294 258 1
405 278 4
549 732 6
69 302 10
290 741 10
706 368 3
711 356 9
87 771 5
947 147 9
380 268 10
511 723 6
558 989 5
995 495 8
909 846 6
267 219 5
439 359 5
262 823 9
981 3 5
475 567 7
644 701 8
64 68 9
531 168 10
842 277 1
827 490 6
374 856 9
532 953 3
199 887 8
704 977 2
111 71 8
930 55 6
762 336 9
920 520 10
427 877 7
352 470 3
205 573 6
595 255 10
273 809 5
502 664 4
315 635 3
652 365 7
301 703 1
251 429 7
569 322 9
16 323 9
103 228 1
150 232 9
30 207 2
514 459 6
103 911 6
128 354 10
333 848 4
686 356 6
534 609 4
328 372 10
796 732 9
44 607 8
853 838 10
562 521 3
319 226 1
853 988 8
510 581 6
770 363 1
607 37 9
398 789 3
130 165 6
357 816 6
506 838 4
253 53 9
194 126 4
252 155 5
818 549 8
937 22 2
975 570 3
609 612 8
969 727 1
49 567 1
983 181 9
150 390 7
615 474 9
722 925 1
543 897 5
132 298 2
774 426 3
371 144 5
532 336 9
63 295 5
137 873 4
735 498 9
757 176 1
952 98 8
781 272 1
388 683 6
907 549 4
743 486 2
474 705 10
858 730 5
671 679 8
72 832 3
284 906 2
711 57 2
490 285 3
751 314 6
864 379 6
813 766 1
76 757 1
748 999 9
883 596 3
56 549 6
363 991 2
621 816 10
410 55 8
411 547 7
282 477 7
710 251 6
43 442 8
587 260 3
772 421 2
467 723 4
267 851 4
23 158 6
755 893 4
169 547 9
296 543 4
403 39 2
321 394 3
403 342 5
545 926 8
603 184 8
882 745 5
893 312 9
421 946 3
419 378 7
120 664 6
596 861 5
297 807 2
864 830 9
142 515 10
683 853 7
272 858 6
919 259 4
884 251 6
980 855 4
298 409 2
623 744 9
831 540 9
555 80 2
622 803 3
426 701 1
419 469 2
241 569 1
781 149 7
752 185 2
165 886 1
632 947 6
749 158 10
703 460 2
73 300 8
727 887 9
903 798 5
13 237 6
819 347 10
533 328 1
910 373 5
858 172 8
159 964 6
297 232 9
7 850 1
518 848 5
954 752 1
324 33 4
280 849 7
18 134 1
943 417 4
9 914 7
923 974 9
650 316 3
753 748 5
839 349 8
527 600 1
710 44 4
505 618 6
40 403 10
722 594 1
994 133 2
961 535 5
166 668 1
278 929 3
117 473 8
666 208 8
905 713 5
467 623 8
958 623 6
991 267 8
537 923 1
17 475 2
940 187 7
647 899 9
640 43 4
458 126 3
669 784 7
461 883 10
728 43 5
600 259 9
945 695 10
989 693 5
813 854 9
510 438 7
964 797 2
485 671 7
472 318 3
333 806 4
850 804 8
480 630 7
